company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
HAREWOOD & CORBIN SERVICES LIMITED,16901271,active,ltd,,,2025-12-10,,2025-12-10,[80100],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
WATERMAN ADVISORY SERVICES LTD,16907787,active,ltd,,,2025-12-12,,2025-12-12,[69102],8 Alpha Business Park Welham Green England AL9 7NT,,,
PINK ELECTRICIANS LTD,16911162,active,ltd,,,2025-12-15,,2025-12-15,[43210],Unit 54 The Enterprise Centre Potters Bar United Kingdom EN6 3DQ,,,
K D GARDENS LTD,16911809,active,ltd,,,2025-12-15,,2025-12-15,"[46690, 47190]",Rosedean House Barnet United Kingdom EN5 4DX,,,
IN-FITY LIMITED,16912577,active,ltd,,,2025-12-15,,2025-12-15,"[68209, 68320]",140 Aldermere Avenue Waltham Cross England EN8 0FF,,,
TSUJI KENKI LANKA LIMITED,16913458,active,ltd,,,2025-12-16,,2025-12-16,[46690],69 Holywell Road Watford United Kingdom WD18 0HT,,,
K MAJESTIC PROPERTIES LIMITED,16913527,active,ltd,,,2025-12-16,,2025-12-16,"[68100, 68209]",5 York Way Hemel Hempstead United Kingdom HP2 4JT,,,
EVIE AUTOMOTIVE LIMITED,16893437,active,ltd,,,2025-12-05,,2025-12-05,"[29100, 29310]",147a High Street Waltham Cross England EN8 7AP,,,
MITO GROUP LIMITED,16895786,active,ltd,,,2025-12-08,,2025-12-08,[64209],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
POUNDPLUS MOBILE ACCESSORIES & MORE LTD,16897420,active,ltd,,,2025-12-08,,2025-12-08,"[47429, 47540, 47789]",Pound Plus Watford England WD24 5BQ,,,
HOTACO STREET FOOD LIMITED,16899135,active,ltd,,,2025-12-09,,2025-12-09,[56102],Broad House Old Hatfield England AL9 5BG,,,
ABD SPARKS LTD,16893293,active,ltd,,,2025-12-05,,2025-12-05,[43210],63 Prospect Road Waltham Cross United Kingdom EN8 9RA,,,
NANAK ROOTS LTD,16893591,active,ltd,,,2025-12-05,,2025-12-05,[64304],147a High Street Waltham Cross England EN8 7AP,,,
PLACITAS LIMITED,16892573,active,ltd,,,2025-12-05,,2025-12-05,[86220],"Braceys Accountants Ltd, 18-20 High Street Stevenage United Kingdom SG1 3EJ",,,
ANDREW CAPITAL LTD,16893279,active,ltd,,,2025-12-05,,2025-12-05,"[46170, 46190, 68100, 68209]",28 Grove Road Borehamwood United Kingdom WD6 5DS,,,
CARTE BLANCHE @ THE COWBARN LIMITED,16895912,active,ltd,,,2025-12-08,,2025-12-08,[56290],12 West Street Ware United Kingdom SG12 9EE,,,
LEV WEST LIMITED,16897248,active,ltd,,,2025-12-08,,2025-12-08,"[47910, 62090]",103 High Street Waltham Cross United Kingdom EN8 7AN,,,
RELIANT STRATEGY LTD,16897594,active,ltd,,,2025-12-08,,2025-12-08,"[68100, 68209]",16 Great Palmers Hemel Hempstead United Kingdom HP2 6BE,,,
ALVALAN LTD,16900234,active,ltd,,,2025-12-09,,2025-12-09,[74100],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE,,,
WISTOW HOLDINGS LTD,16916466,active,ltd,,,2025-12-17,,2025-12-17,[64209],Regency House Barnet England EN5 4BE,,,
DT CASSIUS HOLDINGS LIMITED,16917145,active,ltd,,,2025-12-17,,2025-12-17,[64209],"1st Floor, 5 Century Court Watford England WD18 9PX",,,
SOUTHWICK VILLAGE CLUB LIMITED,16917817,active,ltd,,,2025-12-17,,2025-12-17,[56302],Langley House Borehamwood United Kingdom WD6 4RT,,,
GALLAGHER CONSULTING LTD,16917999,active,ltd,,,2025-12-17,,2025-12-17,[70229],2 Tower House Hoddesdon United Kingdom EN11 8UR,,,
CANCERPAL LIMITED,16919282,active,ltd,,,2025-12-18,,2025-12-18,[47990],Fiveways 57-59 Hatfield Road Hertfordshire United Kingdom EN6 1HS,,,
M & T 365 CONSULTING LIMITED,16919582,active,ltd,,,2025-12-18,,2025-12-18,[64209],"C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP",,,
MEMOCAN LTD,16883714,active,ltd,,,2025-12-01,,2025-12-01,[56103],19 Mutton Lane Potters Bar United Kingdom EN6 3BA,,,
CONCEPT COMMERCIAL FLOORING LIMITED,16886738,active,ltd,,,2025-12-02,,2025-12-02,[43330],137 Watling Street Radlett England WD7 7NQ,,,
83 WHITEHILL RD SPV LTD,16883381,active,ltd,,,2025-12-01,,2025-12-01,[41100],Bradshaw Johnson Chartered Accountants Hitchin United Kingdom SG5 1JQ,,,
AHJ SMILE LTD,16884347,active,ltd,,,2025-12-01,,2025-12-01,[86230],271 High Street Berkhamsted United Kingdom HP4 1AA,,,
CHP VENTURES LTD,16882545,active,ltd,,,2025-12-01,,2025-12-01,[64209],147a High Street Waltham Cross England EN8 7AP,,,
BARFORDEX HOLDINGS LTD,16888834,active,ltd,,,2025-12-03,,2025-12-03,[68209],"1st Floor, 5 Century Court Watford England WD18 9PX",,,
E & A METAL RECYCLING LIMITED,16889385,active,ltd,,,2025-12-03,,2025-12-03,[24450],Belfry House Hertford England SG14 1BP,,,
AN EVENING WITH LIMITED,16890326,active,ltd,,,2025-12-04,,2025-12-04,[90010],Sas House Kings Langley United Kingdom WD4 9JB,,,
PBSA107 LIMITED,16891686,active,ltd,,,2025-12-04,,2025-12-04,"[41100, 41201, 41202]",5 Elstree Gate Borehamwood United Kingdom WD6 1JD,,,
TWINROOTS LANDSCAPES LTD,16920514,active,ltd,,,2025-12-18,,2025-12-18,[81300],11 Garden Court Welwyn Garden City England AL7 1BH,,,
CARECLEAN SOLUTIONS LIMITED,16927200,active,ltd,,,2025-12-22,,2025-12-22,[81299],24 The Spinney Watford United Kingdom WD17 4QF,,,
SHERRIFF AMENITY LTD,16927944,active,ltd,,,2025-12-23,,2025-12-23,[81300],Faulkner House St Albans United Kingdom AL1 3SE,,,
COOP3RFILMS LTD,16929326,active,ltd,,,2025-12-23,,2025-12-23,[59112],C/O Ascot Drummond Devonshire House Borehamwood United Kingdom WD6 1QQ,,,
REGENCY LIFESCIENCES UK LTD,16929826,active,ltd,,,2025-12-23,,2025-12-23,"[46460, 86900]",Savinvest Arquen House St. Albans England AL3 4PQ,,,
PLATONOFF JOINERY CLASSICS LTD,16928191,active,ltd,,,2025-12-23,,2025-12-23,[43320],1 Tower House Hoddesdon England EN11 8UR,,,
CASA HAIR AND AESTHETICS LTD,16929448,active,ltd,,,2025-12-23,,2025-12-23,[96020],23 Church Street Rickmansworth United Kingdom WD3 1DE,,,
T.W. GENERATORS - SOUTH LIMITED,16929780,active,ltd,,,2025-12-23,,2025-12-23,"[27110, 33120, 33140, 33200]",3 Morefields Tring United Kingdom HP23 5EU,,,
MADE FOR EVENTS LIMITED,16921980,active,ltd,,,2025-12-19,,2025-12-19,[62090],"Office 1, Surestore Stevenage Retail Park Stevenage England SG1 1XZ",,,
DG TRANSPORT LIMITED,16929196,active,ltd,,,2025-12-23,,2025-12-23,[49410],Belfry House Hertford England SG14 1BP,,,
UNLOCK - YOUTH WORK TRAINING LIMITED,16929942,active,ltd,,,2025-12-23,,2025-12-23,[85590],131 Knightsfield Welwyn Garden City United Kingdom AL8 7JD,,,
VELOCITA INTERVENT NETWORK LTD,16933952,active,ltd,,,2025-12-29,,2025-12-29,"[52103, 64999, 77110]",Vision 25 Electric Avenue Hertfordshire United Kingdom EN3 7GD,,,
BRIT PONDS GROUP LTD,16934302,active,ltd,,,2025-12-29,,2025-12-29,[74100],Barnfield Berkhamsted United Kingdom HP4 1QR,,,
OMORFI SKIN CLINIC LIMITED,16932992,active,ltd,,,2025-12-29,,2025-12-29,[96020],24 Mount Pleasant Barnet England EN4 9HH,,,
BN CONSULTING LTD,16902531,active,ltd,,,2025-12-10,,2025-12-10,"[62020, 62090]",Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW,,,
JAMESR LTD,16911353,active,ltd,,,2025-12-15,,2025-12-15,[62020],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW,,,
HUMMINGBIRD SEVEN LIMITED,16905300,active,ltd,,,2025-12-11,,2025-12-11,"[70229, 85590, 96090]",9 Hampton Way Bishop's Stortford United Kingdom CM23 2HQ,,,
FOXARTIS LIMITED,16932414,active,ltd,,,2025-12-28,,2025-12-28,[41202],1 Tower House Hoddesdon England EN11 8UR,,,
CLT HOLDINGS LTD,16905714,active,ltd,,,2025-12-12,,2025-12-12,[64209],Unit 1 Farrowby Farm Baldock United Kingdom SG7 5EY,,,
BROWNS STOCKS AND SHARES LTD,16906242,active,ltd,,,2025-12-12,,2025-12-12,[64991],Prohal Chartered Certified Accountants Unit 2 Leavesden Lodge Watford United Kingdom WD24 5FR,,,
BRENDA INTERNATIONAL PTE LTD,16914919,active,ltd,,,2025-12-16,,2025-12-16,[26200],20 Little Grove Bushey United Kingdom WD23 3BG,,,
H & Y MEDICAL SERVICES LIMITED,16920911,active,ltd,,,2025-12-18,,2025-12-18,[86210],"Bracey's Accountants (Medical) Ltd, 18-20 Stevenage United Kingdom SG1 3EJ",,,
SWAGAT KJ LTD,16921754,active,ltd,,,2025-12-19,,2025-12-19,[56103],14 Redhill Road Hitchin United Kingdom SG5 2NJ,,,
SAYAR DESIGN LTD,16922839,active,ltd,,,2025-12-19,,2025-12-19,"[71111, 71122, 74100, 74909]",14 Marsh Close Waltham Cross United Kingdom EN8 7JF,,,
THE TRIBECA STOREHOUSE LTD,16930639,active,ltd,,,2025-12-24,,2025-12-24,[56302],147a High Street Waltham Cross England EN8 7AP,,,
TANROSE GROUP LTD,16931233,active,ltd,,,2025-12-24,,2025-12-24,[46310],476 St Albans Road Watford United Kingdom WD24 6QU,,,
AXIS MEDICAL CLINIC LTD,16930731,active,ltd,,,2025-12-24,,2025-12-24,[86900],"Unit 4, Stirling Court Yard Borehamwood England WD6 2FX",,,
WARNER PROPERTY SOLUTIONS LTD,16930914,active,ltd,,,2025-12-24,,2025-12-24,"[41100, 68209]",13b Woodland Way Welwyn England AL6 0RZ,,,
ARIF'S CAFE HEMEL LTD,16935124,active,ltd,,,2025-12-30,,2025-12-30,[56102],Unit F 2nd Floor (Inside Selco) Hemel Hempstead England HP2 7EE,,,
QUAY ASSETS LTD,16916725,active,ltd,,,2025-12-17,,2025-12-17,[68209],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE,,,
ARYA CONSTRUCTION LTD,16916997,active,ltd,,,2025-12-17,,2025-12-17,[41202],76 Benskin Road Watford United Kingdom WD18 0HW,,,
ACRE DHR LIMITED,16917506,active,ltd,,,2025-12-17,,2025-12-17,"[68100, 68310]","A C R E, Unit 1 Wrotham Park Barnet United Kingdom EN5 4SZ",,,
HOME-SCHOOL TUTORING NORTH & WEST LONDON LIMITED,16918932,active,ltd,,,2025-12-18,,2025-12-18,[85590],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
PRESTIGE PROPERTY SPECIALISTS LTD,16919606,active,ltd,,,2025-12-18,,2025-12-18,[43999],1 Poplar Close Ware England SG11 1AY,,,
THE STABLES AUTOMOTIVE LTD,16884156,active,ltd,,,2025-12-01,,2025-12-01,[45200],Unit 4 Grovelands Hemel Hempstead England HP2 7TE,,,
ANISA'S FLOWERS LIMITED,16882621,active,ltd,,,2025-12-01,,2025-12-01,[46220],Second Floor Hitchin United Kingdom SG4 9SP,,,
SECURITY DOOR ACCESSORIES LIMITED,16884589,active,ltd,,,2025-12-01,,2025-12-01,[46520],68c High Street Bassingbourn Royston United Kingdom SG8 5LF,,,
FELTHAM GUNES LIMITED,16884283,active,ltd,,,2025-12-01,,2025-12-01,[56101],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
WESTFIELDS HOMES (WINDRUSH) LIMITED,16883216,active,ltd,,,2025-12-01,,2025-12-01,[68209],1-3 Old Mill Road Kings Langley England WD4 8RD,https://www.westfieldshomes.co.uk,info@westfieldshomes.co.uk,Confirmed
FINSBURY CLINICAL LIMITED,16886103,active,ltd,,,2025-12-02,,2025-12-02,[86220],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
WATFORD BOILER REPAIR LTD,16886143,active,ltd,,,2025-12-02,,2025-12-02,"[43210, 43220]",12a Cassiobury Drive Watford United Kingdom WD17 3AB,,,
SLEEK HAIR LTD,16886695,active,ltd,,,2025-12-02,,2025-12-02,[96020],C/O Michael Filiou Ltd Salisbury House Potters Bar United Kingdom EN6 5AS,,,
HENKEL BIDCO LTD.,16886185,active,ltd,,,2025-12-02,,2025-12-02,[64209],Wood Lane End Hemel Hempstead United Kingdom HP2 4RQ,,,
SCARF Q LIMITED,16891872,active,ltd,,,2025-12-04,,2025-12-04,[64209],4 Hunting Gate Hitchin United Kingdom SG4 0TJ,,,
ALAHM INVESTMENTS LTD,16891840,active,ltd,,,2025-12-04,,2025-12-04,[68209],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
GEORGE LOCAL SEO LIMITED,16890905,active,ltd,,,2025-12-04,,2025-12-04,[73110],6 Pallas Road Hemel Hempstead United Kingdom HP2 5NR,,,
GAZIOGLU FAMILY HOLDINGS LTD,16891661,active,ltd,,,2025-12-04,,2025-12-04,[64209],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
LIONEL EYRE RESIDENTIAL LTD,16891673,active,ltd,,,2025-12-04,,2025-12-04,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
UYM HERTS LTD,16897721,active,ltd,,,2025-12-08,,2025-12-08,[56101],135 Marford Road St. Albans United Kingdom AL4 8NH,,,
BELCOR PROPERTY MANAGEMENT LTD,16904024,active,ltd,,,2025-12-11,,2025-12-11,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
GRIGGS (BUSHEY 2) LIMITED,16904994,active,ltd,,,2025-12-11,,2025-12-11,"[41100, 68209]","1st Floor, Spitalfields House Borehamwood England WD6 2FX",https://www.griggshomes.co.uk,,Likely
BLACKBOX AI LTD,16905180,active,ltd,,,2025-12-11,,2025-12-11,"[62012, 70229, 71122, 72190]",4 Morecambe Close Stevenage United Kingdom SG1 2AZ,,,
O.H. BALDOCK PROPERTY LIMITED,16900143,active,ltd,,,2025-12-09,,2025-12-09,[68209],5 Beaumont Gate Radlett England WD7 7AR,,,
MITO PLANNING & URBAN DESIGN LIMITED,16904452,active,ltd,,,2025-12-11,,2025-12-11,[96090],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
T WEBB PROPERTIES LTD,16897693,active,ltd,,,2025-12-08,,2025-12-08,[68209],Regency House Barnet England EN5 4BE,,,
PETITT PROPERTIES LTD,16897793,active,ltd,,,2025-12-08,,2025-12-08,[68209],7 Coxfield Close Hemel Hempstead United Kingdom HP2 4LJ,,,
G D CONSTRUCTION GROUP LIMITED,16899137,active,ltd,,,2025-12-09,,2025-12-09,[64203],Pendragon House St. Albans England AL1 1LJ,,,
MASALA CHUTNEY LIMITED,16904679,active,ltd,,,2025-12-11,,2025-12-11,[56103],284 High Street Waltham Cross England EN8 7EA,,,
SMART LIFE LEASES LIMITED,16900207,active,ltd,,,2025-12-09,,2025-12-09,[68209],10 Newnham Parade College Road Waltham Cross England EN8 9NU,,,
DREAMBUILDERS WD LTD,16902268,active,ltd,,,2025-12-10,,2025-12-10,[41202],20 Brooke Way Bushey England WD23 4LG,,,
CGT HOLDINGS LTD,16903063,active,ltd,,,2025-12-10,,2025-12-10,[64209],Unit 1 Farrowby Farm Baldock United Kingdom SG7 5EY,,,
HG WAREHOUSE INVESTMENTS LTD,16903071,active,ltd,,,2025-12-10,,2025-12-10,"[68100, 68209]",81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
LISTI LTD,16903536,active,ltd,,,2025-12-11,,2025-12-11,[63120],2 Dewars Close Welwyn England AL6 9RR,https://listi.uk,support@listi.uk,Likely
CL SOCIAL RESEARCH LTD,16900522,active,ltd,,,2025-12-09,,2025-12-09,[70229],271 High Street Berkhamsted United Kingdom HP4 1AA,,,
SORIAN LTD,16903034,active,ltd,,,2025-12-10,,2025-12-10,[49410],24 Hamburgh Court Waltham Cross United Kingdom EN8 0UL,,,
BRAVADO CLOTHING LTD,16902913,active,ltd,,,2025-12-10,,2025-12-10,[14132],"1st Floor, Spitalfields House Borehamwood England WD6 2FX",,,
BELLGOVE PROPERTIES LIMITED,16907564,active,ltd,,,2025-12-12,,2025-12-12,[68100],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
RADPASS LTD,16910067,active,ltd,,,2025-12-15,,2025-12-15,[70229],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
VENTSI LIMITED,16914779,active,ltd,,,2025-12-16,,2025-12-16,[62012],1st & 2nd Floor 2 West Street Ware England SG12 9EE,,,
TECH KNOWLEDGE CONSULTING LTD,16925158,active,ltd,,,2025-12-22,,2025-12-22,"[62020, 70229]",Building 1 St Cross Chambers Hoddesdon United Kingdom EN11 8LQ,,,
SEC CONSULTING SERVICES LTD,16926286,active,ltd,,,2025-12-22,,2025-12-22,[70229],"Rivers Lodge, Harpenden England AL5 2JD",,,
RYELEY GROUP LIMITED,16927300,active,ltd,,,2025-12-22,,2025-12-22,[96090],31 Greenway Berkhamsted United Kingdom HP4 3JE,,,
HERTFORDSHIRE MIND TRADING LIMITED,16927312,active,ltd,,,2025-12-22,,2025-12-22,"[85510, 85590, 86900, 96040]",501 St. Albans Road Watford United Kingdom WD24 7RZ,https://www.hertsmindnetwork.org,info@hertfordshiremind.org,Confirmed
MELBOURN CHIP SHOP LTD,16927535,active,ltd,,,2025-12-22,,2025-12-22,[56103],58a High Street Royston United Kingdom SG8 6AB,,,
RWD PROP CO LTD,16929258,active,ltd,,,2025-12-23,,2025-12-23,[68209],Unit 34 Orbital Watford England WD18 9DA,,,
THE HOOPS INN (PERRY GREEN) LTD,16929466,active,ltd,,,2025-12-23,,2025-12-23,[56302],Riverside House Bishop's Stortford United Kingdom CM23 3AJ,,,
OMKAR ESTATES LTD,16929931,active,ltd,,,2025-12-23,,2025-12-23,[68209],257 Boundary Way Watford United Kingdom WD25 7SX,,,
SOCCER SOLUTIONS LTD,16928032,active,ltd,,,2025-12-23,,2025-12-23,[93199],1a Hadley Parade High Street Barnet United Kingdom EN5 5SX,,,
JAY VINCZE FINE ART LIMITED,16928482,active,ltd,,,2025-12-23,,2025-12-23,[90040],Unit 1b Focus Four Letchworth Garden City England SG6 2TU,,,
OHENE LIMITED,16928601,active,ltd,,,2025-12-23,,2025-12-23,[70229],Unit 1b Focus Four Letchworth Garden City England SG6 2TU,,,
LW-KELVIN CONSULTING LTD,16929331,active,ltd,,,2025-12-23,,2025-12-23,[71122],C/O Mobile Accounants Cheshunt United Kingdom EN8 9DE,,,
HARTY ENTERPRISES LTD,16905677,active,ltd,,,2025-12-12,,2025-12-12,[56302],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE,,,
DEPRIN CONSULTING LTD,16906382,active,ltd,,,2025-12-12,,2025-12-12,[62090],The Foundry 9 Park Lane Ware England SG11 1RL,,,
T5 ASHMOR LTD,16886803,active,ltd,,,2025-12-02,,2025-12-02,[64209],41 Henmarsh Court Hertford England SG13 8FB,,,
M R GOODA'S HEATING & PLUMBING LIMITED,16906183,active,ltd,,,2025-12-12,,2025-12-12,[43220],7-8 Portmill Lane Hitchin England SG5 1DJ,https://mrgoodaplumbingandheating.co.uk,admin@mrgoodaplumbingandheating.co.uk,Confirmed
DINAH PROPERTIES LIMITED,16903796,active,ltd,,,2025-12-11,,2025-12-11,[68209],23 Porters Wood St Albans United Kingdom AL3 6PQ,,,
SEKOGT INVESTMENTS LIMITED,16914757,active,ltd,,,2025-12-16,,2025-12-16,"[64209, 64991]",Unit 31 Dwight Road Watford England WD18 9SB,,,
WAYSTONE CONSULTING LTD,16931427,active,ltd,,,2025-12-24,,2025-12-24,[70229],2 Adelaide Street St. Albans England AL3 5BH,,,
DGQC MUSIC LTD,16900737,active,ltd,,,2025-12-09,,2025-12-09,"[59200, 90010]",73 73 Whitehill Road Hitchin England SG4 9HP,,,
THE FUNCTIONAL FITNESS CENTRE LIMITED,16889448,active,ltd,,,2025-12-03,,2025-12-03,[96040],Unit 10 Lower Gower Road Royston England SG8 5EA,,,
JU CONSULTING LTD,16883717,active,ltd,,,2025-12-01,,2025-12-01,[62020],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW,,,
PLANET K TOYS LTD,16905118,active,ltd,,,2025-12-11,,2025-12-11,[47650],Room F15 Business & Technology Centre Stevenage United Kingdom SG1 2DX,,,
IUSTINIAN LIMITED,16921219,active,ltd,,,2025-12-19,,2025-12-19,"[52290, 78200]","Censeo House, 6 St Albans AL1 3LF",,,
CNAR ACCOUNTING LIMITED,16886988,active,ltd,,,2025-12-02,,2025-12-02,[69201],24 Church Street Rickmansworth United Kingdom WD3 1DD,,,
CEYLONEX UK LIMITED,16937564,active,ltd,,,2025-12-31,,2025-12-31,"[46420, 47710, 47910]",C/O' Christopher Management Consultings 201b.3 Cardinal Point Rickmansworth United Kingdom WD3 1RE,,,
CYCLOP TRANSPORT LIMITED,16936798,active,ltd,,,2025-12-31,,2025-12-31,[53202],32 Cornflower Way Hatfield England AL10 9FY,,,
MIGHTY BITE KEBAB LTD,16924422,active,ltd,,,2025-12-21,,2025-12-21,[56103],97 Akeman Street Tring United Kingdom HP23 6AA,,,
ASHBERRY CARE HOMES LIMITED,16927009,active,ltd,,,2025-12-22,,2025-12-22,[87300],1 Lea Business Park Harpenden England AL5 5EQ,https://ashberry-care-homes.co.uk,enquiries@ashberry.net,Confirmed
MWA SEARCH LIMITED,16929735,active,ltd,,,2025-12-23,,2025-12-23,[74909],Suite 20 Pluto Accountancy New Mead Barn Bishops Stortford United Kingdom CM23 1JG,,,
MANDALIA TRADING LIMITED,16921988,active,ltd,,,2025-12-19,,2025-12-19,[86210],27 Raglan Gardens Watford England WD19 4LJ,,,
ADAMAS ACCOUNTANCY AND BUSINESS SERVICES LIMITED,16925134,active,ltd,,,2025-12-22,,2025-12-22,[69201],476 St Albans Road Watford United Kingdom WD24 6QU,,,
S & D ASSETS LIMITED,16929607,active,ltd,,,2025-12-23,,2025-12-23,[68100],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX,,,
BLUEPEAK DESIGN & BUILD LTD,16920878,active,ltd,,,2025-12-18,,2025-12-18,"[43220, 43290, 82990]",35 Conway Court 2 Marri Street Watford United Kingdom WD24 5GA,,,
RUNWORX LTD,16911897,active,ltd,,,2025-12-15,,2025-12-15,[85510],11 Pimlico Court Pegs Lane Hertford United Kingdom SG13 8EB,,,
MARLBROOK CONSULTING LIMITED,16882901,active,ltd,,,2025-12-01,,2025-12-01,[70221],33 Sandy Lodge Road Rickmansworth United Kingdom WD3 1LP,,,
WAYROSE LIMITED,16884698,active,ltd,,,2025-12-01,,2025-12-01,[68209],720 Centennial Court Centennial Park Borehamwood United Kingdom WD6 3SY,,,
MAIDENHEAD GUNES LIMITED,16884291,active,ltd,,,2025-12-01,,2025-12-01,[56101],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
GOLDEN SAND REALTORS LIMITED,16884769,active,ltd,,,2025-12-01,,2025-12-01,[68310],The Residence Coworking New Mead Barn Wickham Hall Hadham Road Hertfordshire United Kingdom CM23 1JG,,,
IZBUC TRANS LTD.,16885632,active,ltd,,,2025-12-02,,2025-12-02,[49410],13 Cedar Close Borehamwood United Kingdom WD6 2ED,,,
NURTURING YOUNG KNOWLEDGE AND GROWTH LIMITED,16899871,active,ltd,,,2025-12-09,,2025-12-09,[85100],720 Centennial Court Centennial Park Borehamwood United Kingdom WD6 3SY,,,
REUNA AI LTD,16903115,active,ltd,,,2025-12-10,,2025-12-10,"[62020, 62090]",52 Duncan Way Bushey United Kingdom WD23 2BQ,,,
AG ROOFING SERVICES LTD,16893089,active,ltd,,,2025-12-05,,2025-12-05,[43910],90 Pickford Road St. Albans England AL3 8RW,,,
NEXA STUDIOS LTD,16893903,active,ltd,,,2025-12-05,,2025-12-05,[62012],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
CROSSGATE (HITCHIN) LTD,16898985,active,ltd,,,2025-12-09,,2025-12-09,[98000],Unit 1b Focus Four Letchworth Garden City England SG6 2TU,,,
ORMAN IMPERIALS LTD,16900811,active,ltd,,,2025-12-09,,2025-12-09,[56103],9 Breeze Terrace Waltham Cross United Kingdom EN8 0SY,,,
ALBANWISE SYNERGY CONSULTANCY LIMITED,16904505,active,ltd,,,2025-12-11,,2025-12-11,"[68209, 70229]","Building 4, Imperial Place Borehamwood United Kingdom WD6 1JN",,,
HARK INNOVATION CENTRE LIMITED,16891033,active,ltd,,,2025-12-04,,2025-12-04,"[62012, 74909]",First Floor Baldock United Kingdom SG7 6QQ,,,
MAVARO GROUP LTD,16897659,active,ltd,,,2025-12-08,,2025-12-08,[47910],72 Harford Drive Watford United Kingdom WD17 3DG,,,
