company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
EMMA DASHWOOD PSYCHOTHERAPY LTD,16760047,active,ltd,,,2025-10-02,,2025-10-02,[86900],Regency House Barnet England EN5 4BE,,,
RENEGADE PEARLS LTD,16766848,active,ltd,,,2025-10-06,,2025-10-06,"[47770, 47910]",Avaland House 110 London Road Hemel Hempstead United Kingdom HP3 9SD,,,
RDY LABS LTD,16769381,active,ltd,,,2025-10-07,,2025-10-07,[62012],2 Francis House Park Road Barnet United Kingdom EN5 5RN,,,
INFINIUN LTD,16769822,active,ltd,,,2025-10-07,,2025-10-07,[62020],"Unit 4, Stirling Court Yard Borehamwood England WD6 2FX",,,
HEMBERTON ADVISERS LIMITED,16756883,active,ltd,,,2025-10-01,,2025-10-01,[70229],153-155 London Road Hemel Hempstead England HP3 9SQ,,,
PANAHI DEVELOPMENTS LTD,16756940,active,ltd,,,2025-10-01,,2025-10-01,[68209],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS,,,
INNVEST W FREEHOLD LTD,16769839,active,ltd,,,2025-10-07,,2025-10-07,[68209],8 Burkes Parade Beaconsfield England HP9 1NN,,,
GLASSWORKS E17 LTD,16758312,active,ltd,,,2025-10-02,,2025-10-02,"[41100, 68209]","The Chestnuts, Room 2 Brewers End Bishop's Stortford United Kingdom CM22 6QJ",,,
APEX CAMBRIDGE MANAGEMENT LIMITED,16768621,active,ltd,,,2025-10-07,,2025-10-07,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
S & K INVESTMENT PROPERTIES LIMITED,16768635,active,ltd,,,2025-10-07,,2025-10-07,[68209],271 High Street Berkhamsted United Kingdom HP4 1AA,,,
STERIVIDA PHARMA LIMITED,16769971,active,ltd,,,2025-10-07,,2025-10-07,"[21100, 72110, 74909]",Unit 4 Martinfield Business Centre Welwyn Garden City United Kingdom AL7 1HG,,,
ESQ COFFEE KETTERING LIMITED,16758830,active,ltd,,,2025-10-02,,2025-10-02,[56102],Broad House Hatfield United Kingdom AL9 5BG,,,
REVENUES SOLUTIONS LTD,16761633,active,ltd,,,2025-10-03,,2025-10-03,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
NEW BARNET EXPRESS LTD,16770752,active,ltd,,,2025-10-08,,2025-10-08,[53100],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
RES DEVELOPMENT COMPANY 39 LIMITED,16755509,active,ltd,,,2025-10-01,,2025-10-01,[35110],"Beaufort Court, Egg Farm Lane Kings Langley United Kingdom WD4 8LR",,,
BONNYKNOX SOLAR LIMITED,16756138,active,ltd,,,2025-10-01,,2025-10-01,[35110],"Beaufort Court, Egg Farm Lane Kings Langley United Kingdom WD4 8LR",,,
WORLD NEAR ME LIMITED,16756263,active,ltd,,,2025-10-01,,2025-10-01,"[47910, 47990]",C/O Quantum Uk Business Solutions Limited The Imexbuilding Hertfordshire United Kingdom HP2 7DX,,,
A.C SOLAR LIMITED,16756273,active,ltd,,,2025-10-01,,2025-10-01,[43210],23 The Innings North Watton At Stone United Kingdom SG14 3TD,,,
GLW GROUP LTD,16755600,active,ltd,,,2025-10-01,,2025-10-01,"[45112, 45200, 47910, 53202]","Unit E Ver House, Markyate, United Kingdom AL3 8JP",,,
TTT ACQUISITIONS LTD,16755635,active,ltd,,,2025-10-01,,2025-10-01,[78109],2 Tower House Hoddesdon England EN11 8UR,,,
MELI HAVEN LTD,16756212,active,ltd,,,2025-10-01,,2025-10-01,"[87200, 87300, 88100]",201b.3 Cardinal Point Rickmansworth England WD3 1RE,,,
MIAH-BIBI MEDICALS LTD,16778331,active,ltd,,,2025-10-10,,2025-10-10,[86210],"Unit 4, Stirling Court Yard Borehamwood England WD6 2FX",,,
S.S.C COURIER LIMITED,16777255,active,ltd,,,2025-10-10,,2025-10-10,[53201],2 Park Lane Hemel Hempstead England HP2 4YJ,,,
CAPITALQUARRY LTD,16780613,active,ltd,,,2025-10-13,,2025-10-13,[64999],"Unit 4, Stirling Court Yard Borehamwood England WD6 2FX",,,
THE CHIMNEY PIECE RESTORATION CO LTD,16780612,active,ltd,,,2025-10-13,,2025-10-13,[47990],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
JENSCO ASSET MANAGEMENT LIMITED,16784039,active,ltd,,,2025-10-14,,2025-10-14,[68320],7 Aldenham Grove Radlett United Kingdom WD7 7BW,,,
SUFFOLK PRESTIGE LTD,16774856,active,ltd,,,2025-10-09,,2025-10-09,[45112],12 Cavendish House Hoddesdon United Kingdom EN11 0LB,,,
MORROW CIVILS LIMITED,16778264,active,ltd,,,2025-10-10,,2025-10-10,[41201],24 Church Street Rickmansworth United Kingdom WD3 1DD,,,
SUBTERRA LIVING LTD,16779754,active,ltd,,,2025-10-13,,2025-10-13,[43999],64 Wilbury Way Hitchin United Kingdom SG4 0TP,,,
DECAGON HEALTH LTD,16775171,active,ltd,,,2025-10-09,,2025-10-09,[86900],"Unit 17, Orbital 25 Business Park Dwight Road Watford United Kingdom WD18 9DA",,,
UNIVERE INVESTMENT SOLUTIONS LIMITED,16777202,active,ltd,,,2025-10-10,,2025-10-10,[82990],4 Beech Ridge Harpenden United Kingdom AL5 3NJ,,,
EC ELY LIMITED,16777878,active,ltd,,,2025-10-10,,2025-10-10,[56102],Broad House Old Hatfield England AL9 5BG,,,
STEVE BURGES INVESTMENTS LIMITED,16779967,active,ltd,,,2025-10-13,,2025-10-13,[74990],Manufactory House Hertford England SG14 1BP,,,
MARGARET HOUSE HOLDINGS LIMITED,16771593,active,ltd,,,2025-10-08,,2025-10-08,[64209],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
DELTA TECHNICS (UK) LIMITED,16772029,active,ltd,,,2025-10-08,,2025-10-08,[71122],4 Beech Ridge Harpenden United Kingdom AL5 3NJ,,,
AEO CAPITAL LTD,16774610,active,ltd,,,2025-10-09,,2025-10-09,[82990],17a Plantagenet Road Barnet United Kingdom EN5 5JG,,,
THE LODGE NEW BUILD LTD,16771812,active,ltd,,,2025-10-08,,2025-10-08,[41202],23 Church Street Rickmansworth United Kingdom WD3 1DE,,,
KAPPORETH CARE SERVICES LIMITED,16787112,active,ltd,,,2025-10-15,,2025-10-15,"[78200, 87200, 87300, 87900]",3 Stadium Close Hitchin United Kingdom SG5 4TJ,,,
PRIME LABS HOLDING LTD,16787890,active,ltd,,,2025-10-15,,2025-10-15,[64209],78 Queens Road Watford United Kingdom WD17 2LA,,,
STEELESCALE LTD,16786187,active,ltd,,,2025-10-15,,2025-10-15,[70221],20 Westminster Fields Harpenden United Kingdom AL5 3DZ,,,
REGAL NETWORK SOLUTIONS LIMITED,16786718,active,ltd,,,2025-10-15,,2025-10-15,[43290],Unit 28 Plumpton House Hoddesdon England EN11 0LB,,,
CTK LOGISTICS LIMITED,16788937,active,ltd,,,2025-10-16,,2025-10-16,"[49410, 49420, 82990]",Second Floor Hitchin United Kingdom SG4 9SP,,,
CLAUDINE COLLINS CONSULTING LIMITED,16789104,active,ltd,,,2025-10-16,,2025-10-16,[73120],1 Brookmans Avenue Hatfield United Kingdom AL9 7QH,,,
TAILFLARECO LTD,16790851,active,ltd,,,2025-10-16,,2025-10-16,[47910],"12 Wilbury Way, Hitchin Hertfordshire United Kingdom SG4 0TY",,,
GLOHOME CLEANING LIMITED,16792868,active,ltd,,,2025-10-17,,2025-10-17,[81210],103 High Street Waltham Cross United Kingdom EN8 7AN,,,
ACURIZON CONSULTING LTD,16799702,active,ltd,,,2025-10-21,,2025-10-21,[62020],Suite 7b Portmill House Hitchin United Kingdom SG5 1DJ,,,
LUCAS CAR SERVICES LTD,16800628,active,ltd,,,2025-10-21,,2025-10-21,"[45111, 45112, 45190, 45320]",Flat 6 Allenby House Barnet United Kingdom EN4 8AL,,,
HTC GROUP TOPCO LTD,16797185,active,ltd,,,2025-10-20,,2025-10-20,[64209],Wren House St. Albans England AL1 1NG,,,
ANCELOTI SECURITY LIMITED,16791718,active,ltd,,,2025-10-17,,2025-10-17,[80100],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
BUY AND BLOOM LIMITED,16796169,active,ltd,,,2025-10-20,,2025-10-20,[47990],"Lps Livingstone, Suite 3, Wenzel House Watford United Kingdom WD18 9AB",,,
AYYAN PROPERTIES LTD,16796175,active,ltd,,,2025-10-20,,2025-10-20,"[68100, 68209]",78 Queens Road Watford United Kingdom WD17 2LA,,,
BOOKHAUS CAPITAL LIMITED,16796112,active,ltd,,,2025-10-20,,2025-10-20,"[47910, 58110, 58190, 74909]",Unit 12a Brickfields Industrial Estate Hemel Hempstead United Kingdom HP2 7QA,,,
APRIT WFL CONSULTING LIMITED,16803573,active,ltd,,,2025-10-22,,2025-10-22,[70229],"Windfall House D1, The Courtyard St. Albans United Kingdom AL4 0LA",,,
MWCR CONSULTANCY LTD,16803880,active,ltd,,,2025-10-22,,2025-10-22,"[70229, 71200]",3 Cotton Road Potters Bar United Kingdom EN6 5JT,,,
FRESHBUNDLE LIMITED,16811410,active,ltd,,,2025-10-27,,2025-10-27,[47910],6a Sunhill Royston United Kingdom SG8 9AT,,,
ACLER8 LTD,16803070,active,ltd,,,2025-10-22,,2025-10-22,[70229],7 Bradmore Way Hatfield England AL9 7QY,,,
J FLACK CORPORATE TRAVEL LTD,16812722,active,ltd,,,2025-10-27,,2025-10-27,[79110],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE,,,
BROWNSTONE PROPERTY DEVELOPMENTS LTD,16807423,active,ltd,,,2025-10-24,,2025-10-24,[68100],3 The Barn Cage End Bishop's Stortford England CM22 7HZ,,,
SB SERVICES GROUP LTD,16808317,active,ltd,,,2025-10-24,,2025-10-24,[64209],50 High Street Markyate United Kingdom AL3 8HZ,,,
SANDY TOES BEACH LIMITED,16809279,active,ltd,,,2025-10-24,,2025-10-24,[74100],Suite 1c Meadway Court Stevenage England SG1 2EF,,,
BRIDGE STREET HITCHIN LIMITED,16807657,active,ltd,,,2025-10-24,,2025-10-24,"[68100, 68209]",10 Station Road Letchworth Garden City England SG6 3AU,,,
CWD GROUP LIMITED,16815038,active,ltd,,,2025-10-28,,2025-10-28,[64209],14 Pindar Road Hoddesdon United Kingdom EN11 0EA,,,
MFB OSTEOPATHY LIMITED,16807944,active,ltd,,,2025-10-24,,2025-10-24,[86900],Elsie House Hoddesdon England EN11 8BP,http://www.mfb-osteopathy.com,info@mfb-osteopathy.com,Confirmed
NEXT LINK CONSORTIUM LIMITED,16797087,active,ltd,,,2025-10-20,,2025-10-20,"[78109, 78200]",21 Stewart's Court Watford England WD17 4BW,https://www.nextlinkconsort.co.uk,hc@nextlinkconsort.co.uk,Confirmed
GO WITH A GLOW LTD,16770613,active,ltd,,,2025-10-07,,2025-10-07,[96020],Unit 4 Grovelands Hemel Hempstead England HP2 7TE,,,
HEARTQBED LTD,16823155,active,ltd,,,2025-10-31,,2025-10-31,[86101],"Flat 2, 135a The Parade High Street Watford England WD17 1BS",,,
BEEYU LTD,16818906,active,ltd,,,2025-10-29,,2025-10-29,"[62012, 96040]","Suite 1, The Courtyard, The Old Monastery Bishop's Stortford England CM23 2ND",https://www.beeyuapp.com,,Likely
STUDIO BEECHWOOD LTD,16820509,active,ltd,,,2025-10-30,,2025-10-30,[96090],5 Beaumont Gate Radlett United Kingdom WD7 7AR,https://www.studiobeechwood.co.uk,,Confirmed
K BUSINESS SOLUTIONS INC UK LIMITED,16823554,active,ltd,,,2025-10-31,,2025-10-31,"[58290, 62011, 62012]",14 Mill Stream Lodge Rickmansworth United Kingdom WD3 8JQ,,,
LECAM LIMITED,16785795,active,ltd,,,2025-10-15,,2025-10-15,[62012],Flat 5 21 Warwick Close Barnet England EN4 9SF,,,
HOLLYWOOD MOVIE CARS LTD,16813695,active,ltd,,,2025-10-27,,2025-10-27,[93290],Unit 8 Hoddesdon Industrial Centre Hoddesdon England EN11 0DD,,,
ALLBRIGHT HOMES LTD,16817694,active,ltd,,,2025-10-29,,2025-10-29,"[41202, 43390]",Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
J M HILL LIMITED,16820332,active,ltd,,,2025-10-30,,2025-10-30,[70229],"Unit 1b, Focus Four Letchworth England SG6 2TU",,,
MY ARC LTD,16823357,active,ltd,,,2025-10-31,,2025-10-31,[58290],101 Bury Road Hitchin United Kingdom SG5 3NZ,,,
ATILLE SECURITY LIMITED,16822935,active,ltd,,,2025-10-31,,2025-10-31,[80100],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
BREEZY INVESTMENTS LIMITED,16800813,active,ltd,,,2025-10-21,,2025-10-21,[64209],Suite 20 Pluto Accountancy New Mead Barn Wickham Hall Bishop's Stortford United Kingdom CM23 1JG,https://www.breezyinvestments.com,,Likely
CLARKMONT LIMITED,16771668,active,ltd,,,2025-10-08,,2025-10-08,[70229],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW,,,
PHOEBE SMITH LTD,16813141,active,ltd,,,2025-10-27,,2025-10-27,"[59112, 70229]",Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW,,,
BEE CONNECTED MARKETING LTD,16772333,active,ltd,,,2025-10-08,,2025-10-08,[70229],"Fao Workwell Accountancy Ground Floor East, Hyde Watford England WD17 1JW",https://beeconnectedmarketing.co.uk,enquiries@beeconnectedmarketing.com,Confirmed
BATCHWORTH ELECTRICAL CONTRACTORS LTD,16795211,active,ltd,,,2025-10-20,,2025-10-20,[43210],1 Basing Road Rickmansworth United Kingdom WD3 8QH,,,
WEHEALTH ORIENTAL LTD,16823882,active,ltd,,,2025-10-31,,2025-10-31,[86900],29 Rushforth Road Bishop's Stortford United Kingdom CM23 0DH,https://acupunctureherb.co.uk,,Confirmed
SHRE RAM KRISHNA CONVINIENCE LTD,16766408,active,ltd,,,2025-10-06,,2025-10-06,[47620],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG,,,
FRAMEQUAKE LTD,16765923,active,ltd,,,2025-10-06,,2025-10-06,"[59112, 73110]",2 Walsworth Road Hitchin United Kingdom SG4 9SP,https://framequake.ai,simon@framequake.ai,Confirmed
CHRIS JOHNSTONE VISUALS LTD,16766006,active,ltd,,,2025-10-06,,2025-10-06,[59112],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG,,,
N9 PROJECTS LTD,16768319,active,ltd,,,2025-10-07,,2025-10-07,[71122],159 High Street Barnet Hertfordshire United Kingdom EN5 5SU,,,
PIRPA BARNET LTD,16784475,active,ltd,,,2025-10-14,,2025-10-14,[47810],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
BUCKLERSBURY HITCHIN LIMITED,16785569,active,ltd,,,2025-10-15,,2025-10-15,[68209],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
THE LONDON LUXURY WATCH GROUP LIMITED,16786056,active,ltd,,,2025-10-15,,2025-10-15,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
VS MARKETING SOLUTIONS LTD,16784391,active,ltd,,,2025-10-14,,2025-10-14,[73110],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
NATHAN GEE LIMITED,16789616,active,ltd,,,2025-10-16,,2025-10-16,[62020],15 King Edward Road Watford England WD19 4DN,,,
MAROLO KIAR LIMITED,16778440,active,ltd,,,2025-10-10,,2025-10-10,[70229],Connected Accounting St Albans United Kingdom AL1 3TF,,,
MCP PLUS LTD,16783486,active,ltd,,,2025-10-14,,2025-10-14,[43220],Unit 7 Gentlemens Field Ware England SG12 0EF,,,
SAINTS LOFTS LTD,16790487,active,ltd,,,2025-10-16,,2025-10-16,"[41100, 43320]",Wellington House London Colney United Kingdom AL2 1HA,https://www.saintslofts.co.uk,,Confirmed
RED DOG SALES AND MARKETING LTD,16789462,active,ltd,,,2025-10-16,,2025-10-16,[96090],"C/O Ake, Hoddesdon Enterprise Centre Hoddesdon England EN11 0FJ",,,
SRVL INVESTMENTS LIMITED,16807109,active,ltd,,,2025-10-24,,2025-10-24,"[68100, 68209, 68310]",5 Bellmount Wood Avenue Watford United Kingdom WD17 3BN,,,
VIGILI APP LIMITED,16798832,active,ltd,,,2025-10-21,,2025-10-21,[58290],"2nd Floor, Unicorn House Potters Bar United Kingdom EN6 1TL",,,
VILLAGE FABRICS DESIGNS LTD,16814468,active,ltd,,,2025-10-28,,2025-10-28,[47510],159 High Street Barnet Hertfordshire United Kingdom EN5 5SU,,,
JACKS WHEELS LTD,16773696,active,ltd,,,2025-10-09,,2025-10-09,[52290],10 Pengelly Close Waltham Cross United Kingdom EN7 5DD,,,
HAINES PROPERTY HOLDINGS LTD,16774408,active,ltd,,,2025-10-09,,2025-10-09,[68100],23 Church Street Rickmansworth United Kingdom WD3 1DE,,,
FASHION JEWELS LIMITED,16774616,active,ltd,,,2025-10-09,,2025-10-09,[47770],Office Suite 114 Cuffley Place Cuffley United Kingdom EN6 4RY,,,
RELENTLESS PEOPLE LTD,16775982,active,ltd,,,2025-10-09,,2025-10-09,[59113],Building 15 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
HARRIS'S LV CABLE JOINTING LTD,16776027,active,ltd,,,2025-10-09,,2025-10-09,[43210],9 Hall Grove Welwyn Garden City England AL7 4PJ,,,
GS KAYA GROUP LIMITED,16801782,active,ltd,,,2025-10-22,,2025-10-22,[64209],Broad House Old Hatfield England AL9 5BG,,,
ECR TRANSPORT LTD,16804857,active,ltd,,,2025-10-23,,2025-10-23,[96090],Church House Kings Langley England WD4 8JP,,,
GREENFIELD LAND & PROPERTY LTD,16802500,active,ltd,,,2025-10-22,,2025-10-22,[41100],"Unit 52, Thrales End Business Centre Harpenden United Kingdom AL5 3NS",,,
ZENTARA HOLDINGS LIMITED,16791882,active,ltd,,,2025-10-17,,2025-10-17,[64209],"Unit 1b, Focus Four Letchworth England SG6 2TU",,,
BOMBON INTERNATIONAL LIMITED,16791792,active,ltd,,,2025-10-17,,2025-10-17,[64209],"C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP",,,
EC MHWP LIMITED,16804959,active,ltd,,,2025-10-23,,2025-10-23,[56102],Broad House Old Hatfield England AL9 5BG,,,
GZB INVESTMENTS LTD,16792967,active,ltd,,,2025-10-17,,2025-10-17,[68209],222 Watford Road Rickmansworth United Kingdom WD3 3DD,,,
LAWBROS PRESTIGE LTD,16800856,active,ltd,,,2025-10-21,,2025-10-21,[45112],7 Watton Road Ware England SG12 0AA,https://www.lawbrosprestige.co.uk,info@lawbrosprestige.co.uk,Confirmed
PAWBLOOMRESIN LTD,16795244,active,ltd,,,2025-10-20,,2025-10-20,[47910],"12 Wilbury Way, Hitchin Hertfordshire United Kingdom SG4 0TY",https://pawbloomresinstore.com,,Confirmed
MOTORCYCLE PITSTOP LTD,16797235,active,ltd,,,2025-10-20,,2025-10-20,[71200],666 Green Lane Letchworth Garden City England SG6 1PF,http://www.motorcyclepitstop.co.uk,,Confirmed
THE SEVEN PILLARS CARE GROUP LTD,16792577,active,ltd,,,2025-10-17,,2025-10-17,"[87100, 87200, 87900, 88990]",78 Queens Road Watford United Kingdom WD17 2LA,,,
VA HEALTHCARE SERVICES GROUP LTD,16803328,active,ltd,,,2025-10-22,,2025-10-22,[86210],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
SRIRAM HOLDINGS GROUP LIMITED,16805396,active,ltd,,,2025-10-23,,2025-10-23,[64209],Subway Watford England WD18 0BW,,,
RRR PILATES LIMITED,16761027,active,ltd,,,2025-10-03,,2025-10-03,[86900],Belfry House Hertford England SG14 1BP,,,
OLSOFS PROPERTY LTD,16822383,active,ltd,,,2025-10-30,,2025-10-30,[68100],Chess Falls Rickmansworth England WD3 4HQ,,,
AUSTIN HOUSE HITCHIN LIMITED,16807687,active,ltd,,,2025-10-24,,2025-10-24,"[68100, 68209]",10 Station Road Letchworth Garden City England SG6 3AU,,,
CGERSH LIMITED,16789373,active,ltd,,,2025-10-16,,2025-10-16,[86900],12 Fiddlebridge Industrial Centre Hatfield United Kingdom AL10 0DE,,,
AWR PROJECTS LTD,16817784,active,ltd,,,2025-10-29,,2025-10-29,[70229],23 Church Street Rickmansworth United Kingdom WD3 1DE,https://awrgroupltd.co.uk,,Likely
EURO FOOD (BRICKETWOOD) LTD,16817919,active,ltd,,,2025-10-29,,2025-10-29,[47110],2 Reynards Way St. Albans United Kingdom AL2 3SF,,,
IMMERSIBILITY LTD,16815216,active,ltd,,,2025-10-28,,2025-10-28,[93290],3 Bedford Road Hitchin United Kingdom SG5 3XH,,,
CARE BRIDGE SOLUTIONS LTD,16815800,active,ltd,,,2025-10-28,,2025-10-28,[84120],C/O Goodier Smith & Watts Borehamwood England WD6 1QQ,,,
HIETANEN CONSULTANCY LTD,16823314,active,ltd,,,2025-10-31,,2025-10-31,[62012],4th Floor Radius House Watford England WD17 1HP,,,
EPS.GROUP SERVICES LTD,16758970,active,ltd,,,2025-10-02,,2025-10-02,"[78109, 78200, 96090]","2nd Floor, Unicorn House Potters Bar United Kingdom EN6 1TL",https://www.epsgroup.co.uk,info@epsgroup.co.uk,Confirmed
CARNEGIE COLLECTIVE LIMITED,16820621,active,ltd,,,2025-10-30,,2025-10-30,[96020],3a Chestnut House Shenley England WD7 9AD,,,
SOLIEA AND BEAUX HOME DECOR LTD,16818724,active,ltd,,,2025-10-29,,2025-10-29,[47910],"31 Avenue Rise, Bushey United Kingdom WD23 3AS",https://solieaandbeaux.com,soliea.beaux@gmail.com,Confirmed
DG DIGITAL CONSULTING LIMITED,16818698,active,ltd,,,2025-10-29,,2025-10-29,[62020],39 Milliners Way Bishop's Stortford England CM23 4GG,https://dgdigital.consulting,,Confirmed
UNDERCOVER GARAGE LIMITED,16820830,active,ltd,,,2025-10-30,,2025-10-30,[45200],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
DUNBEG SOUTH HOLDINGS LIMITED,16821374,active,ltd,,,2025-10-30,,2025-10-30,[64209],Beaufort Court Kings Langley United Kingdom WD4 8LR,,,
THE HOPIUM LAB LTD,16823249,active,ltd,,,2025-10-31,,2025-10-31,"[62012, 62020]",101 Bury Road Hitchin United Kingdom SG5 3NZ,https://thehopiumlab.com,ross@thehopiumlab.com,Likely
COMPUTACENTER GERMANY HOLDINGS LIMITED,16823580,active,ltd,,,2025-10-31,,2025-10-31,[64209],Hatfield Business Park Hatfield United Kingdom AL10 9TW,https://www.computacenter.com,,Confirmed
HUBRO BIOSCIENCE LTD,16824289,active,ltd,,,2025-10-31,,2025-10-31,[86900],Stevenage Bioscience Catalyst Stevenage United Kingdom SG1 2FX,,,
CHAMPALIMAUD UK OPERATING COMPANY LIMITED,16823322,active,ltd,,,2025-10-31,,2025-10-31,[86220],"Goodier Smith & Watts Ltd, Devonshire House Borehamwood England WD6 1 QQ",https://www.champalimaud.design,info@champalimaud.design,Confirmed
REDBRICK OXFORD LTD,16823286,active,ltd,,,2025-10-31,,2025-10-31,"[68100, 68209, 68320]",The Willows Goffs Oak England EN7 6TD,,,
THE ROOMS GG LIMITED,16820407,active,ltd,,,2025-10-30,,2025-10-30,"[68100, 68209]",4a Church Road Welwyn Garden City England AL8 6NE,,,
JD CUSTOMER SOLUTIONS LIMITED,16789953,active,ltd,,,2025-10-16,,2025-10-16,[70229],Catalyst House 720 Centennial Court Elstree WD6 3SY,,,
BROMFIELD CAR REPAIRS LTD,16768429,active,ltd,,,2025-10-07,,2025-10-07,[45200],255 Broadwater Crescent Stevenage England SG2 8ET,,,
ROBINSON INVESTMENT GROUP LIMITED,16768510,active,ltd,,,2025-10-07,,2025-10-07,[66120],Suite 20 Pluto Accountancy New Mead Barn Bishop's Stortford United Kingdom CM23 1JG,,,
INGLIS PROPERTIES LIMITED,16769072,active,ltd,,,2025-10-07,,2025-10-07,[41100],24 Church Street Rickmansworth United Kingdom WD3 1DD,,,
HAYES PRECISION GAUGES LTD,16769942,active,ltd,,,2025-10-07,,2025-10-07,[28990],10 Prospect Place Welwyn England AL6 9EW,,,
DAVE & GINA LIMITED,16770183,active,ltd,,,2025-10-07,,2025-10-07,[68209],135 North Approach Watford England WD25 0EP,,,
T1D RACING LIMITED,16755118,active,ltd,,,2025-10-01,,2025-10-01,[93199],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
RES DEVELOPMENT COMPANY 38 LIMITED,16755437,active,ltd,,,2025-10-01,,2025-10-01,[35110],"Beaufort Court, Egg Farm Lane Kings Langley United Kingdom WD4 8LR",https://www.res-group.com,,Confirmed
SAFETY FIRST CONSULTANCY SERVICES LTD,16755494,active,ltd,,,2025-10-01,,2025-10-01,[70229],23 Church Street Rickmansworth United Kingdom WD3 1DE,https://safetyfirstconsultancyservices.co.uk,,Confirmed
NELSONS JACKHILL LIMITED,16756581,active,ltd,,,2025-10-01,,2025-10-01,[96090],Unit 14 Hoddesdon Enterprise Centre Hoddesdon United Kingdom EN11 0FJ,https://nelsonsselfstore.co.uk,,Confirmed
ERDOS SEARCH LTD,16756922,active,ltd,,,2025-10-01,,2025-10-01,[78109],"Braceys Accountants Ltd, Cam Centre, Unit 1 Hitchin England SG4 0TW",,,
GROSVENOR HOUSE (ROWLANDS CASTLE) MANAGEMENT LIMITED,16757168,active,ltd,,,2025-10-01,,2025-10-01,[98000],Rae House Bishops Stortford United Kingdom CM23 3BT,,,
JANES PLANTS LTD,16758638,active,ltd,,,2025-10-02,,2025-10-02,[47760],103 High Street Waltham Cross United Kingdom EN8 7AN,https://indoorgrow.co.uk,,Confirmed
HIGHBURY STRATEGY LIMITED,16756684,active,ltd,,,2025-10-01,,2025-10-01,[70229],2 Tower House Hoddesdon United Kingdom EN11 8UR,,,
