company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
NIX STUDIO LTD,17266316,active,ltd,,,2026-06-08,,2026-06-08,[31090],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,https://www.nixstudio.co.uk,tom@nixstudio.co.uk,Confirmed
MARTIN LAVELLE LEADERSHIP IN EDUCATION CONSULTANCY LTD,17272827,active,ltd,,,2026-06-10,,2026-06-10,[70229, 85600],86 Fishpool Street St. Albans England AL3 4RX,,,
COSTELL BUILDERS LTD,17264113,active,ltd,,,2026-06-05,,2026-06-05,[41201, 41202, 43991],46 Heysham Drive Watford England WD19 6YJ,,,
LOGIC 27 LTD,17302812,active,ltd,,,2026-06-26,,2026-06-26,[64209],147a High Street Waltham Cross England EN8 7AP,,,
BLACKRIDGE BUILDING AND ELECTRICAL CONTRACTORS LIMITED,17303730,active,ltd,,,2026-06-26,,2026-06-26,[43210],Suite H1 Hartsbourne House Carpenders Park United Kingdom WD19 5BE,,,
ZAF GROUP HOLDINGS LIMITED,17305757,active,ltd,,,2026-06-29,,2026-06-29,[64209],Suite 201 Moda Business Centre Borehamwood England WD6 2BW,,,
BYWATER CULINARY LIMITED,17258644,active,ltd,,,2026-06-03,,2026-06-03,[56210, 96090],15 School End Crescent Hemel Hempstead England HP1 2DZ,,,
SANVARO LIMITED,17258326,active,ltd,,,2026-06-03,,2026-06-03,[68209],167 Northfield Road Waltham Cross England EN8 7RE,,,
TFS PARTNERS LTD,17264656,active,ltd,,,2026-06-05,,2026-06-05,[62090, 73110, 74100],1 Allied Business Centre Harpenden England AL5 4UT,https://thefounderssuite.co.uk,hello@thefounderssuite.co.uk,Confirmed
A & G EDUCATION LTD,17271329,active,ltd,,,2026-06-09,,2026-06-09,[85590],6 Abbotts Road Barnet United Kingdom EN5 5DP,,,
11BOS LIMITED,17266561,active,ltd,,,2026-06-08,,2026-06-08,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
SAHANA ENERGY LTD,17269388,active,ltd,,,2026-06-09,,2026-06-09,[74909],C/O Factotum Group Llp The Kinetic Centre Borehamwood England WD6 4PJ,https://sahana.energy,,Confirmed
H2T HEALTH LTD,17269393,active,ltd,,,2026-06-09,,2026-06-09,[86900],3 Linton Avenue Borehamwood United Kingdom WD6 4RB,,,
GOUVRAS KNOWLEDGE & NETWORKS LTD,17262519,active,ltd,,,2026-06-04,,2026-06-04,[70229],2nd Floor, Unicorn House Potters Bar England EN6 1TL,,,
FRESH EXTERIORS LTD,17269333,active,ltd,,,2026-06-09,,2026-06-09,[81210],16 The Maltings Roydon Road Stanstead Abbotts England SG12 8UU,,,
EZIFIX SOLUTIONS LIMITED,17273864,active,ltd,,,2026-06-10,,2026-06-10,[43390],Manufactory House Hertford England SG14 1BP,,,
RUNWAY ANGELS LTD,17277197,active,ltd,,,2026-06-17,,2026-06-17,[47990],6 Central Avenue Waltham Cross England EN8 7JG,,,
PCW PRE FAB LIMITED,17277346,active,ltd,,,2026-06-17,,2026-06-17,[71129],Unit 12 Kings Park Industrial Estate Kings Langley England WD4 8ST,,,
ALIGNEDWORKS LTD,17274696,active,ltd,,,2026-06-17,,2026-06-17,[70229],39 The Metro Centre Watford England WD18 9SB,https://alignedworksltd.com,,Confirmed
MEASURED MADNESS LTD,17274763,active,ltd,,,2026-06-17,,2026-06-17,[43390],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ,,,
B U 207 LIMITED,17273826,active,ltd,,,2026-06-10,,2026-06-10,[56103],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
EVOLT CHARGING LTD,17274427,active,ltd,,,2026-06-10,,2026-06-10,[28990],Spaces The Maylands Building Hemel Hempstead United Kingdom HP2 7TG,https://evoltcharging.co.uk,,Confirmed
UK OFFICE SUPPORT LTD,17276203,active,ltd,,,2026-06-17,,2026-06-17,[82990],1st Floor, 5 Century Court Walford England WD18 9PX,,,
FT LOGIC LIMITED,17281798,active,ltd,,,2026-06-18,,2026-06-18,[62020],11 Ducketts Wharf South Street Bishop's Stortford England CM23 3AR,https://ftlogic.co.uk,hello@ftlogic.co.uk,Confirmed
VOILANT LIMITED,17283140,active,ltd,,,2026-06-18,,2026-06-18,[64209],Ashdon House Barnet England EN5 5YL,,,
CANVEY ISLANDERS LIMITED,17264189,active,ltd,,,2026-06-05,,2026-06-05,[68209],81 Turners Hill Waltham Cross England EN8 9BD,,,
DEAD QUIET STUDIO LTD,17297086,active,ltd,,,2026-06-23,,2026-06-23,[58290, 59200, 85590],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,https://deadquiet.studio,mgmt@deadquiet.studio,Likely
MORE THAN WORDS LTD,17298610,active,ltd,,,2026-06-24,,2026-06-24,[70210, 73110],Suite 1, The Courtyard, The Old Monastery Bishop's Stortford England CM23 2ND,,,
CMYK STRATEGIES LTD,17281743,active,ltd,,,2026-06-18,,2026-06-18,[18129],37 Weymouth Hemel Hempstead United Kingdom HP3 9SL,,,
SCOTT WILSON CONSULTING LTD,17289332,active,ltd,,,2026-06-20,,2026-06-20,[70210],5 Ducketts Wharf Bishops Stortford United Kingdom CM23 3AR,,,
ACUFENSE LTD,17298940,active,ltd,,,2026-06-24,,2026-06-24,[72190],Lake House Royston United Kingdom SG8 9JN,,,
PURE EARTH HOLDINGS LIMITED,17289830,active,ltd,,,2026-06-20,,2026-06-20,[14190],Unicorn House 2nd Floor Potters Bar United Kingdom EN6 1TL,,,
LOVE RECOVERY & STORAGE LTD,17294539,active,ltd,,,2026-06-22,,2026-06-22,[52103, 52219],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE,,,
WATFORD SYMPHONY ORCHESTRA PRODUCTIONS LIMITED,17294550,active,ltd,,,2026-06-22,,2026-06-22,[90010],227 Cassiobury Drive Watford WD17 3AN,https://www.watfordsymphonyorchestra.co.uk,,Confirmed
WATERFORD DEVELOPMENT (PROPERTY) LIMITED,17297411,active,ltd,,,2026-06-23,,2026-06-23,[68209],19a Orbital 25 Business Park Dwight Road Watford England WD18 9DA,https://www.waterford-development.co.uk,enquiry@waterford-development.co.uk,Confirmed
FISHTANK MAN LTD,17281232,active,ltd,,,2026-06-18,,2026-06-18,[33190, 43290, 96090],33 Swanley Crescent Potters Bar England EN6 1NQ,https://www.fishtankman.co.uk,chrisfishtankman@gmail.com,Confirmed
LONDON NEW BUILD SUPERHOMES LTD,17281541,active,ltd,,,2026-06-18,,2026-06-18,[41202],23 Church Street Rickmansworth United Kingdom WD3 1DE,,,
SUNSHINE COMMERCIAL CLEANING LIMITED,17285265,active,ltd,,,2026-06-19,,2026-06-19,[81210],11 Ducketts Wharf South Street Bishop's Stortford England CM23 3AR,https://sunshinecarpetcare.co.uk,office.sunshinecleaning@gmail.com,Likely
COOPERSHIP RESIDENTIAL LIMITED,17285582,active,ltd,,,2026-06-19,,2026-06-19,[68209],Building 1, St. Cross Chambers Hoddesdon United Kingdom EN11 8LQ,,,
AK MEDICAL CARE LIMITED,17288408,active,ltd,,,2026-06-19,,2026-06-19,[86220, 86230],1st Floor, 5 Century Court Walford England WD18 9PX,,,
MD CLEARANCES LTD,17283196,active,ltd,,,2026-06-18,,2026-06-18,[38110],Pixmore Centre Letchworth Garden City United Kingdom SG6 1JG,,,
JAG SINGH PROPERTIES LIMITED,17292044,active,ltd,,,2026-06-21,,2026-06-21,[68201, 68209],206 Turners Hill Cheshunt United Kingdom EN8 9DE,,,
LKS HOLDINGS LIMITED,17294807,active,ltd,,,2026-06-22,,2026-06-22,[64209],1st & 2nd Floor 2 West Street Ware United Kingdom SG12 9EE,,,
HR & SR PROPERTIES LIMITED,17295369,active,ltd,,,2026-06-23,,2026-06-23,[64209, 68209],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
MAAI THAI LTD,17297865,active,ltd,,,2026-06-24,,2026-06-24,[56101],80 High Street Hemel Hempstead United Kingdom HP1 3AQ,,,
THE PHOENIX DIRECTIVE LTD,17294657,active,ltd,,,2026-06-22,,2026-06-22,[70229],1st Floor Extension Ware United Kingdom SG12 7QE,,,
THE TEACHING COUPLE LTD,17290212,active,ltd,,,2026-06-20,,2026-06-20,[58190, 85600],1st Floor 2 Station Close Potters Bar England EN6 1TL,https://theteachingcouple.com,,Confirmed
AUSTRAL CONSULTING SERVICES LTD,17251926,active,ltd,,,2026-06-01,,2026-06-01,[70229],C/O Quantum Uk Business Solutions Ltd The Imexbuilding 575-599 Maxted Road Hertfordshire United Kingdom HP2 7DX,,,
NEARESTPLANE LIMITED,17253099,active,ltd,,,2026-06-01,,2026-06-01,[32990, 47990],103 High Street Waltham Cross United Kingdom EN8 7AN,https://nearestplane.com,hello@nearestplane.com,Confirmed
DKK CONSULTING LTD,17254165,active,ltd,,,2026-06-01,,2026-06-01,[70229],105 Fordwich Rise Hertford England SG14 2DF,,,
BUCKLERSBURY PERIPERI ORIGINAL LTD,17251508,active,ltd,,,2026-06-01,,2026-06-01,[56103],9 Bucklersbury Hitchin United Kingdom SG5 1BB,http://www.periperihitchin.co.uk,,Confirmed
CC TECH CONSULTING LTD,17251949,active,ltd,,,2026-06-01,,2026-06-01,[62020],4th Floor Radius House Watford England WD17 1HP,https://cctechdigital.com,,Confirmed
CITY GLAZE LTD,17277634,active,ltd,,,2026-06-17,,2026-06-17,[43342, 43390],2nd Floor, Unicorn House Potters Bar England EN6 1TL,,,
CATHERINE & LAM LTD,17267846,active,ltd,,,2026-06-08,,2026-06-08,[56102, 56103, 56290],23 Castle Road St. Albans United Kingdom AL1 5DQ,,,
HEMN LIMITED,17269624,active,ltd,,,2026-06-09,,2026-06-09,[90030],1st Floor, Spitalfields House Borehamwood, Hertfordshire United Kingdom WD6 2FX,,,
SWEAT STRATEGIES LTD,17274700,active,ltd,,,2026-06-17,,2026-06-17,[70229],C/O Gardian Accounting Ltd 4 Imperial Place Borehamwood United Kingdom WD6 1JN,https://sweatstrategies.com,info@sweatstrategies.com,Likely
LUMINA LABS LTD,17275042,active,ltd,,,2026-06-17,,2026-06-17,[62020],1st Floor Woodgate Studios Cockfosters United Kingdom EN4 9HN,https://luminalabs.dev,,Likely
APOLLO LABS BIO TECH UK LTD,17275082,active,ltd,,,2026-06-17,,2026-06-17,[72110],245 Perrysfield Road Waltham Cross England EN8 0TP,https://apollolabs.co.uk,apollolabsuk@yahoo.com,Confirmed
OSSORA LTD,17276571,active,ltd,,,2026-06-17,,2026-06-17,[62012],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,https://ossora.ai,info@ossora.ai,Likely
OMNICROFT LETTINGS LTD,17276582,active,ltd,,,2026-06-17,,2026-06-17,[68320],Suite 7a, Building 6, Croxley Park Watford United Kingdom WD18 8YH,http://www.omnicroft.co.uk,info@omnicroft.co.uk,Likely
BANATAN VERONICA LTD,17277799,active,ltd,,,2026-06-17,,2026-06-17,[29320],Unit 10 Bell Farm Royston England SG8 8ND,,,
TAMBURELLO PROPERTY LIMITED,17271730,active,ltd,,,2026-06-09,,2026-06-09,[68209],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
SAVENEST LIMITED,17276746,active,ltd,,,2026-06-17,,2026-06-17,[47910],26 Upton Road Watford United Kingdom WD18 0JP,,,
GMDN ADVISORS LTD,17266705,active,ltd,,,2026-06-08,,2026-06-08,[70229],1st Floor, Spitalfields House Borehamwood England WD6 2FX,,,
SILVER IBEX LIMITED,17276345,active,ltd,,,2026-06-17,,2026-06-17,[70229],Pendragon House St. Albans United Kingdom AL1 1LJ,,,
MALAY BITES LTD,17274087,active,ltd,,,2026-06-10,,2026-06-10,[56103],The Courtyard Hertfordshire Stotfold England SG5 4AZ,https://www.malaycourtyard.co.uk,info@malaycourtyard.co.uk,Confirmed
HOWARTH PLASTERING LTD,17263775,active,ltd,,,2026-06-05,,2026-06-05,[43310],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE,https://howarthplastering.com,,Confirmed
NIBHAS PROPERTY INVESTMENTS LIMITED,17271668,active,ltd,,,2026-06-09,,2026-06-09,[68100, 68201, 68209],C/O W I S Accountancy Ltd 4, Imperial Place Borehamwood England WD6 1JN,,,
EASIGARDENS LIMITED,17271697,active,ltd,,,2026-06-09,,2026-06-09,[81300],Manufactory House Hertford England SG14 1BP,,,
ZEGE LTD,17274922,active,ltd,,,2026-06-17,,2026-06-17,[68100, 68209],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,,,
TOY BALLOONS LTD,17268855,active,ltd,,,2026-06-08,,2026-06-08,[47789],Suite - I 15-17 High Street Hertfordshire England WD6 3BY,https://toyballoons.co.uk,mail@toyballoons.co.uk,Confirmed
EC GLASGOW LIMITED,17271554,active,ltd,,,2026-06-09,,2026-06-09,[56102],Broad House Old Hatfield England AL9 5BG,https://esquirescoffee.co.uk,,Confirmed
CLEARVIEW BUILDING SOLUTIONS CBS LIMITED,17272938,active,ltd,,,2026-06-10,,2026-06-10,[41202],Regency House Barnet United Kingdom EN5 4BE,,,
SQUARE MILE CLINIC LTD,17276835,active,ltd,,,2026-06-17,,2026-06-17,[82990],2nd Floor, Unicorn House Potters Bar England EN6 1TL,,,
BULSTRODE LTD,17280879,active,ltd,,,2026-06-18,,2026-06-18,[78300],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,,,
AIMALABS LTD,17288958,active,ltd,,,2026-06-19,,2026-06-19,[62012],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,https://aimalabs.net,vasiliki@aimalabs.net,Confirmed
COVETD LTD,17290670,active,ltd,,,2026-06-20,,2026-06-20,[47910],19 Milestone Road Knebworth United Kingdom SG3 6DA,,,
ZAVIYAN LTD,17293409,active,ltd,,,2026-06-22,,2026-06-22,[69202],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX,,,
LUKES JUKES LTD,17287690,active,ltd,,,2026-06-19,,2026-06-19,[93290],3 Twyford Mews Bishop's Stortford United Kingdom CM22 7PA,https://sites.google.com/view/lukes-jukes/home,lukesjukes1@gmail.com,Confirmed
DIN PROPERTIES INVESTMENT LTD,17295918,active,ltd,,,2026-06-23,,2026-06-23,[68100, 68209, 68320],Stirling Court Yard Borehamwood England WD6 2FX,,,
STAYONTHESUNNYSIDE PICTURES LTD,17298697,active,ltd,,,2026-06-24,,2026-06-24,[59111],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,,,
DANCIU SORIN LTD,17286983,active,ltd,,,2026-06-19,,2026-06-19,[29320],Unit 10 Bell Farm Royston England SG8 8ND,,,
KS&A SECURITY SOLUTIONS LTD,17292218,active,ltd,,,2026-06-21,,2026-06-21,[80200],8 Smith Street Watford England WD18 0AA,,,
CLEAR LEGACY PLANNING LTD,17294653,active,ltd,,,2026-06-22,,2026-06-22,[70229],34 Netherlands Road Barnet United Kingdom EN5 1BW,,,
FORTIFY INTEGRATED SOLUTIONS LIMITED,17282844,active,ltd,,,2026-06-18,,2026-06-18,[80200],Ashdon House Barnet United Kingdom EN5 5YL,,,
KC PRIVATE CAPITAL LIMITED,17284024,active,ltd,,,2026-06-18,,2026-06-18,[64209],7-8 Portmill Lane Hitchin England SG5 1DJ,https://kcprivateclients.co.uk,,Likely
VAYRA ZZ LTD,17292496,active,ltd,,,2026-06-21,,2026-06-21,[64209],1st Floor, 5 Century Court Watford England WD18 9PX,https://vayra.co.uk,info@vayra.co.uk,Confirmed
MARIA PETKOVA LIMITED,17281668,active,ltd,,,2026-06-18,,2026-06-18,[81210],7a High Dells Hatfield England AL10 9JD,,,
CHELSTEEN INVESTMENTS LIMITED,17295735,active,ltd,,,2026-06-23,,2026-06-23,[68209],1 Church Lane Sheering, Bishop's Stortford United Kingdom CM22 7NR,https://www.chelsteen.co.uk,info@chelsteen.co.uk,Confirmed
ARCHITETRIS LTD,17297064,active,ltd,,,2026-06-23,,2026-06-23,[62020],Blue Cedars Hemel Hempstead United Kingdom HP3 0BG,https://architetris.com,,Confirmed
WATERFORD GROUP HOLDINGS LIMITED,17290160,active,ltd,,,2026-06-20,,2026-06-20,[64209],19a Orbital 25 Business Park Watford United Kingdom WD18 9DA,https://www.waterford-development.co.uk,enquiry@waterford-development.co.uk,Confirmed
QUADRANT ESTATES AND CAR PARKING LTD,17292257,active,ltd,,,2026-06-21,,2026-06-21,[52219, 68209],Wellington House London Colney United Kingdom AL2 1HA,https://quadrantestates.com,,Likely
BADOR SOCIAL LIMITED,17297788,active,ltd,,,2026-06-24,,2026-06-24,[82990],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
PREMIUM CHAUFFEURS LTD,17284542,active,ltd,,,2026-06-18,,2026-06-18,[49320],42 Watling Street Hertfordshire England WD7 7NN,,,
A1 COMMERCIAL IN CONSTRUCTION LIMITED,17252202,active,ltd,,,2026-06-01,,2026-06-01,[74902],2 Tower House Hoddesdon England EN11 8UR,,,
LOVED DIGITAL UK LTD,17297382,active,ltd,,,2026-06-23,,2026-06-23,[62020],Rivers Lodge, Harpenden England AL5 2JD,https://loveddigital.com,,Confirmed
THE VILLAGE HOME & GARDEN COMPANY LTD,17278490,active,ltd,,,2026-06-17,,2026-06-17,[43390, 81100, 81300],Belfry House Hertford England SG14 1BP,,,
TOTALLY ON POINT CHAUFFEURS LIMITED,17276909,active,ltd,,,2026-06-17,,2026-06-17,[82990],31 Ormesby Drive Potters Bar England EN6 3EA,,,
KG ELITE PROPERTIES LIMITED,17260613,active,ltd,,,2026-06-04,,2026-06-04,[68100, 68209, 68320],21 Landbeach Welwyn Garden City United Kingdom AL7 2QB,,,
STANCIL COUNSELLING AND CBT LTD,17260837,active,ltd,,,2026-06-04,,2026-06-04,[86900],Unit 1 The Cam Centre Hitchin England SG4 0TW,,,
LEVER & FULCRUM SOLUTIONS LTD,17261258,active,ltd,,,2026-06-04,,2026-06-04,[62020],4th Floor Radius House Watford England WD17 1HP,https://www.leverandfulcrum.com,info@leverandfulcrum.com,Confirmed
LS COLLECTIVE MOVEMENT LIMITED,17263026,active,ltd,,,2026-06-05,,2026-06-05,[93199],137 Watling Street Radlett England WD7 7NQ,,,
SOCIAL SIP LIMITED,17284015,active,ltd,,,2026-06-18,,2026-06-18,[56101],Broad House 1 The Broadway Hatfield England AL9 5BG,,,
ELLIOTT AI CONSULTING LTD,17255615,active,ltd,,,2026-06-02,,2026-06-02,[62020],Fao Workwell Accountancy Ground Floor East Hyde Watford England WD171JW,,,
AB LOCKS & REPAIRS LTD,17277406,active,ltd,,,2026-06-17,,2026-06-17,[96090],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
GSD CONSULTING LIMITED,17302313,active,ltd,,,2026-06-25,,2026-06-25,[62020],24a Hollybush Lane Harpenden United Kingdom AL5 4AT,https://gsd-consulting.co.uk,,Likely
EXPERT PUFFIN LTD,17303281,active,ltd,,,2026-06-26,,2026-06-26,[62012],81 Turners Hill Waltham Cross United Kingdom EN8 9BD,https://www.expertpuffin.com,info@expertpuffin.com,Confirmed
AYG DESIGN&BUILD LTD,17307490,active,ltd,,,2026-06-29,,2026-06-29,[41202],93 Rossington Avenue Borehamwood England WD6 4LB,,,
VAYRA 2 LTD,17301619,active,ltd,,,2026-06-25,,2026-06-25,[87300],1st Floor, 5 Century Court Watford England WD18 9PX,https://vayra.co.uk,info@vayra.co.uk,Confirmed
G J SMITH ROOFING LTD,17302344,active,ltd,,,2026-06-25,,2026-06-25,[43910],C/O Goodier Smith & Watts Devonshire House Borehamwood England WD6 1QQ,https://gjsmithroofing.com,enquiries@gjsmithroofing.com,Confirmed
LTL COMMERCIAL SERVICES LTD,17307473,active,ltd,,,2026-06-29,,2026-06-29,[33190],Rookery Nook Site Watford United Kingdom WD25 8HD,,,
RC TOPCO LTD,17308615,active,ltd,,,2026-06-30,,2026-06-30,[64209],Wellington House London Colney United Kingdom AL2 1HA,,,
BARGEE MANAGEMENT COMPANY LIMITED,17300846,active,ltd,,,2026-06-25,,2026-06-25,[70229],Broad House Old Hatfield England AL9 5BG,,,
PRESENCE UNLIMITED LIMITED,17300848,active,ltd,,,2026-06-25,,2026-06-25,[85600],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
RICKMANSWORTH LTD,17306125,active,ltd,,,2026-06-29,,2026-06-29,[68209],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX,,,
MOMENTS & MEMORABILIA LTD,17306904,active,ltd,,,2026-06-29,,2026-06-29,[47791],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX,,,
JACOB DUDMAN LIMITED,17299681,active,ltd,,,2026-06-24,,2026-06-24,[90010],Building 15, Gateway 1000 Arlington Business Park Stevenage England SG1 2FP,https://www.jacobdudman.net,,Confirmed
AG FP LIMITED,17296652,active,ltd,,,2026-06-23,,2026-06-23,[70221],27 Kneesworth Street Royston England SG8 5AB,,,
MX ESCAPES LTD,17307382,active,ltd,,,2026-06-29,,2026-06-29,[79120],11 Garden Court Welwyn Garden City England AL7 1BH,,,
VALORIS TRADING LIMITED,17300767,active,ltd,,,2026-06-25,,2026-06-25,[35140, 35230],1st Floor, 5 Century Court Watford England WD18 9PX,,,
AGI ASSETS LTD,17305793,active,ltd,,,2026-06-29,,2026-06-29,[66220],2nd Floor, Unicorn House Potters Bar England EN6 1TL,,,
ABP FOOD & WINE LTD,17256106,active,ltd,,,2026-06-02,,2026-06-02,[47110],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS,,,
BYWATER CATERING LTD,17258639,active,ltd,,,2026-06-03,,2026-06-03,[56210, 96090],15 School End Crescent Hemel Hempstead England HP1 2DZ,,,
PARSONS RENTAL PROPERTIES LIMITED,17258762,active,ltd,,,2026-06-03,,2026-06-03,[68100, 68209, 68320],1 Slimmons Drive St. Albans United Kingdom AL4 9AN,https://www.parsonsproperty.uk,,Likely
REMOTE POSSIBILITY LTD,17259119,active,ltd,,,2026-06-03,,2026-06-03,[77291],Avaland House 110 London Road Hemel Hempstead United Kingdom HP3 9SD,,,
HERDWICK HOLIDAY PARK LIMITED,17256201,active,ltd,,,2026-06-02,,2026-06-02,[93290],C/O Lovat Parks Imex Centre Hemel Hempstead United Kingdom HP2 7DX,https://lovatparks.com,,Confirmed
HEARTS DEVELOPMENT LIMITED,17254368,active,ltd,,,2026-06-01,,2026-06-01,[93290],C/O Lovat Parks Imex Centre Hemel Hempstead United Kingdom HP2 7DX,https://lovatparks.com,,Confirmed
ELEA CONSTRUCTION LTD,17304150,active,ltd,,,2026-06-26,,2026-06-26,[41202, 43290],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS,,,
ATHENA EXPERT SURVEYORS LTD,17268142,active,ltd,,,2026-06-08,,2026-06-08,[74902, 74909],159 High Street Barnet United Kingdom EN5 5SU,https://athenaexpertsurveyors.co.uk,info@athenaexpertsurveyors.co.uk,Likely
MIMI@NAILS LTD,17285439,active,ltd,,,2026-06-19,,2026-06-19,[96020],22 Limes Road,Cheshunt Hertfordshire England EN8 8TJ,,,
DR S LONDON LIMITED,17251507,active,ltd,,,2026-06-01,,2026-06-01,[46460, 47190, 47750],1st Floor, 5 Century Court Watford England WD18 9PX,,,
INTELLIGENT DESIGN HUB LIMITED,17251756,active,ltd,,,2026-06-01,,2026-06-01,[47990, 70229],67 Hardings Welwyn Garden City England AL7 2HA,,,
AQUAEDUCTA LIMITED,17252082,active,ltd,,,2026-06-01,,2026-06-01,[25990],Belfry House Hertford England SG14 1BP,,,
VELLARO SPORTS LTD,17253716,active,ltd,,,2026-06-01,,2026-06-01,[46420],94 Common View Common View Letchworth United Kingdom SG6 1DD,https://vellaro.uk,rbarney267@gmail.com,Likely
JKRK HOLDINGS LIMITED,17253129,active,ltd,,,2026-06-01,,2026-06-01,[64209],5 Oldâ€™S Approach Watford United Kingdom WD18 9TD,,,
KT DENTAL SMILES LTD,17256999,active,ltd,,,2026-06-02,,2026-06-02,[86230],201b.3 Cardinal Point Park Road Rickmansworth England WD3 1RE,,,
