company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
TALENT ACQUISITION BUREAU LTD,16183655,active,ltd,,,2025-01-14,,2025-01-14,[78109],1 Tower House Hoddesdon England EN11 8UR,https://www.tabltd.co.uk,,Likely
NES FOOD LTD,16171509,active,ltd,,,2025-01-08,,2025-01-08,[56103],37 Vesta Avenue St. Albans United Kingdom AL1 2PG,,,
SYNTHESSA LTD,16171464,active,ltd,,,2025-01-08,,2025-01-08,[82990],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS,https://www.synthessaconsulting.com,,Confirmed
AERO SOLUTIONS GROUP UK LIMITED,16171074,active,ltd,,,2025-01-08,,2025-01-08,[64205, 64209],The Watch Barn Bishop's Stortford United Kingdom CM23 1JG,,,
MR SCISSORS LTD,16143892,active,ltd,,,2024-12-18,,2024-12-18,[96020],256 St Albans Road Watford England WD24 4AX,,,
ASJ LEARNING LTD,16159895,active,ltd,,,2025-01-02,,2025-01-02,[85200, 85310, 85600],25 Eton Avenue East Barnet England EN4 8TU,,,
AMPERSAND FACILITIES MANAGEMENT LTD,16162131,active,ltd,,,2025-01-03,,2025-01-03,[68320, 70229],Ampersand Associates Ltd 3 The Stables Bishop's Stortford United Kingdom CM23 2BN,http://www.ampersand-associates.com,amp@ampersand-associates.com,Likely
NINE LATHOM ROAD LIMITED,16161699,active,ltd,,,2025-01-03,,2025-01-03,[98000],C/O Sobell Rhodes, The Kinetic Centre Theobald Street Borehamwood United Kingdom WD6 4PJ,,,
PIRANHA SERVICES LIMITED,16161020,active,ltd,,,2025-01-03,,2025-01-03,[47990],7 Rowley Walk Hemel Hempstead United Kingdom HP2 7TS,,,
DOBBING NURSERIES LIMITED,16162328,active,ltd,,,2025-01-03,,2025-01-03,[88910],19 Attimore Road Welwyn Garden City United Kingdom AL8 6LH,,,
AUDIOFY LIMITED,16253193,active,ltd,,,2025-02-14,,2025-02-14,[62090, 63990],Cinnamond House Baldwins Lane Rickmansworth United Kingdom WD3 3RT,,,
NAOMI PROPERTY MANAGEMENT LTD,16252168,active,ltd,,,2025-02-14,,2025-02-14,[68320],27 Easton Gardens Borehamwood United Kingdom WD6 2PL,,,
EH REC2REC LTD,16252250,active,ltd,,,2025-02-14,,2025-02-14,[78109],S10 -S12 Audley House Berkhamsted United Kingdom HP4 1EH,https://ehrec.co.uk,info@ehrec.co.uk,Confirmed
CARDADDYS LIMITED,16252922,active,ltd,,,2025-02-14,,2025-02-14,[45112],Cinnamond House Baldwins Lane Rickmansworth United Kingdom WD3 3RT,https://www.cardaddys.co.uk,hello@cardaddys.co.uk,Confirmed
ROUTE PORTAL LIMITED,16252919,active,ltd,,,2025-02-14,,2025-02-14,[62090, 63990],Cinnamond House Baldwins Lane Rickmansworth United Kingdom WD3 3RT,,,
CURL CRU LIMITED,16250452,active,ltd,,,2025-02-13,,2025-02-13,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
MELO & COSTA LIMITED,16252016,active,ltd,,,2025-02-14,,2025-02-14,[63990],82a High Street Potters Bar United Kingdom EN6 5AB,,,
LONDOLOZA LIMITED,16255555,active,ltd,,,2025-02-17,,2025-02-17,[62020],Wren House St Albans United Kingdom AL1 1NG,,,
WHITE HAT TRADES CONSTRUCTION LTD,16255638,active,ltd,,,2025-02-17,,2025-02-17,[78109],Unit L2 The Maltings Sawbridgeworth United Kingdom CM21 9JX,https://www.whitehattrades.co.uk,info@whitehattrades.co.uk,Confirmed
TOTAL ROOFING (CONTRACTORS) LTD,16245221,active,ltd,,,2025-02-11,,2025-02-11,[43910],Unit 4 Grovelands Hemel Hempstead England HP2 7TE,,,
TG DAMP LIMITED,16245225,active,ltd,,,2025-02-11,,2025-02-11,[82990],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP,,,
DNMJL LTD,16246625,active,ltd,,,2025-02-12,,2025-02-12,[64209, 85590],5 Great Conduit Welwyn Garden City United Kingdom AL7 2DH,,,
BYTEBITES LIMITED,16235287,active,ltd,,,2025-02-06,,2025-02-06,[62020],87 Fulford Grove Watford England WD19 7QJ,,,
SDJA LIMITED,16247700,active,ltd,,,2025-02-12,,2025-02-12,[47782],Belfry House Hertford England SG14 1BP,,,
DJB CARPENTRY & BUILDING LIMITED,16246493,active,ltd,,,2025-02-12,,2025-02-12,[43999],Second Floor 2 Walsworth Road Hertfordshire United Kingdom SG4 9SP,http://www.djbcarpentryandbuilding.co.uk,,Confirmed
AYH GROUP LTD,16248489,active,ltd,,,2025-02-12,,2025-02-12,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
CROCELECTRICAL LTD,16235739,active,ltd,,,2025-02-06,,2025-02-06,[43210],Unit 7 Caxton Point Business Centre Stevenage England SG1 2XU,https://crocelectrical.com,,Confirmed
HADLEY ORGANICS LTD,16474372,active,ltd,,,2025-05-27,,2025-05-27,[10710, 56102],8 Grange Avenue Barnet United Kingdom EN4 8NL,,,
MODIFIED INVESTMENTS LTD,16517777,active,ltd,,,2025-06-13,,2025-06-13,[68100, 68209],65 Burlington Rise Barnet England EN4 8NN,,,
LAXTON PROPERTIES (BERKHAMSTED) LTD,16603487,active,ltd,,,2025-07-24,,2025-07-24,[41202, 68100],2 Amersham House Berkhamsted England HP4 2DT,,,
MARVEL PADEL LTD,16557882,active,ltd,,,2025-07-02,,2025-07-02,[93120],Unit 2 Hillside Farm Hillside Lane Ware England SG12 9SH,https://marvelpadel.co.uk,,Likely
PTECH GROUP LTD,16555793,active,ltd,,,2025-07-02,,2025-07-02,[82990],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS,,,
TRINI SOUL LTD,16557011,active,ltd,,,2025-07-02,,2025-07-02,[56103],10 Prospect Place Welwyn England AL6 9EW,,,
BNJ LUXURY LTD,16556186,active,ltd,,,2025-07-02,,2025-07-02,[79110, 82302, 85590],61 Flat 9, William Gray Court Hatfield United Kingdom AL10 0DZ,https://bnjluxury.com,info@bnjluxury.com,Confirmed
FALCON25 LIMITED,16560837,active,ltd,,,2025-07-03,,2025-07-03,[64303],1st Floor, Spitalfields House Borehamwood England WD6 2FX,,,
JRL PROPERTY (CASTLE STREET) OPCO LIMITED,16565514,active,ltd,,,2025-07-07,,2025-07-07,[68209],4 Elstree Way Borehamwood England WD6 1RN,https://jrlgroup.co.uk,,Likely
LOTUS MANAGEMENT INVESTMENTS LIMITED,16555891,active,ltd,,,2025-07-02,,2025-07-02,[68100],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
5A TOUCH LTD,16560393,active,ltd,,,2025-07-03,,2025-07-03,[56210, 82301, 96090],7 Milk Churn Way Knebworth United Kingdom SG3 6FF,,,
JRL PROPERTY (CASTLE STREET) HOLDINGS LIMITED,16565434,active,ltd,,,2025-07-07,,2025-07-07,[64209],4 Elstree Way Borehamwood England WD6 1RN,https://jrlgroup.co.uk,,Likely
PHOENIX TRANSFERS LTD,16563592,active,ltd,,,2025-07-07,,2025-07-07,[49320],201b.3 Cardinal Point Rickmansworth England WD3 1RE,,,
VESTRI LIMITED,16569521,active,ltd,,,2025-07-08,,2025-07-08,[47990],7-8 Portmill Lane Hitchin England SG5 1DJ,,,
ALETRARI PROPERTY LTD,16597651,active,ltd,,,2025-07-21,,2025-07-21,[68209],57 Dakota House Bessemer Road Welwyn Garden City England AL7 1GJ,,,
COTERIE DESIGN LTD,16559499,active,ltd,,,2025-07-03,,2025-07-03,[74100],Stoneridge Malting Lane Tring United Kingdom HP23 5RH,http://coterie-design.com,,Confirmed
FAZEOS LTD,16286281,active,ltd,,,2025-03-03,,2025-03-03,[85590],Office On The Hill Kiln House, 15 - 17 High Street Elstree United Kingdom WD6 3BY,,,
BOX CLEVER FITNESS LIMITED,16232881,active,ltd,,,2025-02-05,,2025-02-05,[85510],C/O Gardian Accounting Ltd 4 Imperial Place Borehamwood England WD6 1JN,,,
RISKMETRICA LIMITED,16459562,active,ltd,,,2025-05-19,,2025-05-19,[62012, 62020],10 Fairway Close Harpenden United Kingdom AL5 2NN,https://riskmetrica.com,info@riskmetrica.com,Confirmed
APEX FIRE SAFETY LIMITED,16271651,active,ltd,,,2025-02-24,,2025-02-24,[84250],C/O Gardian Accounting Ltd 4 Imperial Place Borehamwood England WD6 1JN,,,
PICO PADEL LTD,16267085,active,ltd,,,2025-02-21,,2025-02-21,[47910],C/O Gardian Accounting Ltd 4 Imperial Place Borehamwood England WD6 1JN,,,
MB CB LONDON LIMITED,16468768,active,ltd,,,2025-05-22,,2025-05-22,[64209],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,,,
WESTERN PLANT AND REPAIR LTD,16525287,active,ltd,,,2025-06-17,,2025-06-17,[33120],24 Church Street Rickmansworth United Kingdom WD3 1DD,,,
BRITDRIVE MOTORS LIMITED,16432574,active,ltd,,,2025-05-06,,2025-05-06,[45112],Lps Livingstone Suite 3, Wenzel House Watford United Kingdom WD18 9AB,https://britdrivemotors.co.uk,,Likely
EMM-G SERVICES LTD,16572274,active,ltd,,,2025-07-09,,2025-07-09,[43290, 43999],201b.3 Cardinal Point Rickmansworth England WD3 1RE,,,
CODREANU AND FRIENDS LTD,16370390,active,ltd,,,2025-04-07,,2025-04-07,[41202],59 Mount Drive, Park Street St. Albans England AL2 2NS,,,
AURA INVESTMENT PROPERTIES LIMITED,16620222,active,ltd,,,2025-07-31,,2025-07-31,[68100, 68209],1st Floor Woodgate Studios Cockfosters United Kingdom EN4 9HN,,,
SILI COVER LIMITED,16276288,active,ltd,,,2025-02-25,,2025-02-25,[46900, 47789, 47910],1st Floor Woodgate Studios Cockfosters United Kingdom EN4 9HN,,,
PRADAV INFRASTRUCTURE LIMITED,16449207,active,ltd,,,2025-05-14,,2025-05-14,[68100, 98000],2 Falcon Gate Shire Park, Welwyn Garden City. Unit 2 Welwyn Garden City United Kingdom AL7 1TW,,,
LONDON REPAIR MAINTENANCE LTD,16438149,active,ltd,,,2025-05-08,,2025-05-08,[33120, 33140, 33190, 43220],West Clayton Business Centre Chorleywood England WD3 5EX,,,
BEHOLD.AI GLOBAL TECHNOLOGIES LTD,16431071,active,ltd,,,2025-05-06,,2025-05-06,[62090, 86220],Unit 1, The Cam Centre Hitchin United Kingdom SG4 0TW,https://www.beholdai.co.uk,info@beholdai.co.uk,Likely
CONNECTED ALTERNATIVE PROVISION LTD,16531756,active,ltd,,,2025-06-20,,2025-06-20,[68100, 68209],Suite 3b, The Grange Welwyn England AL6 9LY,,,
ACREDEAN LIMITED,16150597,active,ltd,,,2024-12-23,,2024-12-23,[70229],Unit 4 Sterling Court Yard Borehamwood England WD6 2FX,,,
TRE ADVISORY LIMITED,16587082,active,ltd,,,2025-07-16,,2025-07-16,[46510, 46900, 62020, 82990],Highstone House 165 High Street Hertfordshire United Kingdom EN5 5SU,https://tre-advisory.co.uk,info@tre-advisory.co.uk,Confirmed
GEARS AND MOTOR LTD,16220676,active,ltd,,,2025-01-31,,2025-01-31,[45112],1 Beauchamp Court Barnet United Kingdom EN5 5TZ,,,
LISA H PHOTOGRAPHY LTD,16179842,active,ltd,,,2025-01-13,,2025-01-13,[74201],Grenville House Broxbourne England EN10 7DH,https://lisahphotography.com,hello@lisahphotography.com,Likely
CLARKE WEB SERVICES LTD,16386453,active,ltd,,,2025-04-14,,2025-04-14,[63120],78 Queens Road Watford United Kingdom WD17 2LA,,,
PELISSIER CONSULTING LTD,16556292,active,ltd,,,2025-07-02,,2025-07-02,[62020],32 Lattimore Road St. Albans AL1 3XW,,,
NN MEDICAL LIMITED,16398535,active,ltd,,,2025-04-22,,2025-04-22,[86220],Heronslea House Bushey England WD23 3HH,,,
AA RASAN BAZAAR LTD,16288173,active,ltd,,,2025-03-03,,2025-03-03,[47190, 47210, 47290, 47910],12 Embleton Road South Oxhey England WD19 7PN,https://rasanbazaar.co.uk,,Confirmed
AMG ESTATES GROUP LTD,16267027,active,ltd,,,2025-02-21,,2025-02-21,[68100, 82990],5 Yeomans Court Hertford United Kingdom SG13 7HJ,,,
NADSON CONSULTING LIMITED,16608858,active,ltd,,,2025-07-28,,2025-07-28,[78109, 78200],Suite 2.32-33, Iveco House Station Road Watford England WD17 1ET,https://www.nadson.co.uk,,Confirmed
CEDAR PEAK PARTNERS LTD,16220635,active,ltd,,,2025-01-31,,2025-01-31,[70229],Unicorn House 2nd Floor Potters Bar England EN6 1TL,https://www.cedar-peak.com,richard@cedar-peak.com,Confirmed
GRM POWER HOUSE LTD,16512427,active,ltd,,,2025-06-11,,2025-06-11,[35110, 35140],Unit 15 Orbital 25 Business Park Dwight Road Watford England WD18 9DA,,,
INFINITE GYM LTD,16318095,active,ltd,,,2025-03-14,,2025-03-14,[86900, 93130],167 Turners Hill Cheshunt United Kingdom EN8 9BH,,,
369 COLLECTIVES LTD,16400450,active,ltd,,,2025-04-22,,2025-04-22,[47910],67 Thornbury Gardens Borehamwood England WD6 1RD,,,
ROCK PAPER SCISSORS PRODUCTIONS LTD,16607588,active,ltd,,,2025-07-25,,2025-07-25,[59112, 73110, 74202],5 Ducketts Wharf Bishop's Stortford United Kingdom CM23 3AR,,,
ACRE BIRCH GREEN LTD,16216710,active,ltd,,,2025-01-29,,2025-01-29,[68100, 68310],A C R E, Unit 1 Wrotham Park Barnet United Kingdom EN5 4SZ,,,
ADDISON HOMECARE LIMITED,16322866,active,ltd,,,2025-03-18,,2025-03-18,[87300],17 The Hawthorns Rickmansworth United Kingdom WD3 9UH,https://www.addisonhomecare.co.uk,info@addisonhomecare.co.uk,Confirmed
KINETIC CAPITAL SOLUTIONS LTD,16299685,active,ltd,,,2025-03-07,,2025-03-07,[82990],26 Station Road Watford England WD17 1JU,,,
JUNGSA LIMITED,16483495,active,ltd,,,2025-05-29,,2025-05-29,[49390],17 Hillcrest Baldock England SG7 6NE,https://dashtaxi.uk,info@dashtaxi.uk,Confirmed
ALB MANAGEMENT SERVICES LTD,16397548,active,ltd,,,2025-04-22,,2025-04-22,[70229],51 North End Royston United Kingdom SG8 6NU,,,
SMART LIFE PROPERTIES LTD,16400710,active,ltd,,,2025-04-22,,2025-04-22,[68100, 68209, 68320],10 Newnham Parade Cheshunt England EN8 9NU,,,
TAMART VENTURES LTD,16458948,active,ltd,,,2025-05-19,,2025-05-19,[47110, 47190, 47760, 47910],10 10 Austen Way St Albans United Kingdom AL4 0FW,,,
ISPF HOLDINGS LIMITED,16344568,active,ltd,,,2025-03-26,,2025-03-26,[64209],Building 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP,,,
ESF DESIGN LTD,16340187,active,ltd,,,2025-03-25,,2025-03-25,[71111],C/O Hicks And Co. Vaughan Chambers Harpenden United Kingdom AL5 4EE,https://www.esf.design,peter@esf.design,Confirmed
BUTLER & DAUGHTERS REAL ESTATE LTD,16346951,active,ltd,,,2025-03-27,,2025-03-27,[68310, 70229],Sas House Friarswood Kings Langley England WD4 9JB,https://kraigbutler.exp.uk.com,kraig.butler@expuk.com,Likely
S&I LETTINGS LTD,16352622,active,ltd,,,2025-03-31,,2025-03-31,[68100, 68209],24 Cheriton Close St Albans United Kingdom AL4 9HU,,,
GMT ACOUSTIC INSTALLATIONS LTD,16371433,active,ltd,,,2025-04-07,,2025-04-07,[43290],C/O Gardian Accounting Ltd 4 Imperial Place Borehamwood England WD6 1JN,,,
ROBERTO & CO PROPERTY SOLUTIONS LTD,16234197,active,ltd,,,2025-02-06,,2025-02-06,[68310],Roberto & Co Property Solutions Ltd 688a Goffs Lane Hertfordshire United Kingdom EN7 5ET,,,
ALOPARTNERS CONSULTING LTD,16433311,active,ltd,,,2025-05-07,,2025-05-07,[69203, 70221, 70229, 74909],4 Allwoods Place Hitchin England SG4 0BQ,https://www.alopartners.com,,Confirmed
JAYWORTH SUBCO LIMITED,16571250,active,ltd,,,2025-07-09,,2025-07-09,[68209],1st Floor, 5 Century Court Watford England WD18 9PX,,,
L&L MUSIC LTD.,16371804,active,ltd,,,2025-04-08,,2025-04-08,[59200],5 Elstree Gate Borehamwood United Kingdom WD6 1JD,,,
THE THERAPY TREE (ESSEX) LIMITED,16237553,active,ltd,,,2025-02-07,,2025-02-07,[96040],5 Ducketts Wharf Bishop's Stortford United Kingdom CM23 3AR,,,
VALENOR ESTATES LTD,16512449,active,ltd,,,2025-06-11,,2025-06-11,[68100, 68209, 68320],Unit 15 Orbital 25 Business Park Dwight Road Watford England WD18 9DA,,,
TIMBERLAKE HEALTH & SAFETY CONSULTANTS LIMITED,16451547,active,ltd,,,2025-05-14,,2025-05-14,[63990, 86900],Cp House Watford England WD25 8HR,,,
STEEL WORKS CREATIVE LTD,16237990,active,ltd,,,2025-02-07,,2025-02-07,[90030],Building 15, Gateway 1000 Arlington Business Park Stevenage United Kingdom SG1 2FP,,,
JMR PRO LIMITED,16403472,active,ltd,,,2025-04-23,,2025-04-23,[96020],Sas House Kings Langley United Kingdom WD4 9JB,,,
TOO LATE PRODUCTIONS LTD,16379965,active,ltd,,,2025-04-10,,2025-04-10,[90010],Building 15, Gateway 1000 Arlington Business Park Stevenage United Kingdom SG1 2FP,,,
VENTURA WILDLIFE ENCOUNTERS LTD,16438872,active,ltd,,,2025-05-08,,2025-05-08,[85590],Unit 9 Hoddesdon Industrial Centre Hoddesdon England EN11 0DD,,,
BLUESKY CONSTRUCTION SERVICES LTD,16459373,active,ltd,,,2025-05-19,,2025-05-19,[41100, 41201, 41202],59 Kenerne Drive Barnet United Kingdom EN5 2NW,,,
R&R SOLICITORS LTD,16388844,active,ltd,,,2025-04-15,,2025-04-15,[69102],Devonshire House Borehamwood England WD6 1QQ,https://rrsolicitors.com,info@rrsolicitors.com,Confirmed
NOVA NOW LTD,16422715,active,ltd,,,2025-05-01,,2025-05-01,[43999, 62020, 70229, 82990],Springwell Apartments, Flat 50 Watford United Kingdom WD18 0LE,,,
MATLOOB NEURO LIMITED,16307964,active,ltd,,,2025-03-11,,2025-03-11,[86220],18-20 High Street Stevenage SG1 3EJ,,,
LOUPE THE FINANCE COMPANY LIMITED,16200967,active,ltd,,,2025-01-22,,2025-01-22,[64999],Connected Accounting St Albans United Kingdom AL1 3TF,,,
MAG7 VENTURES LTD,16313451,active,ltd,,,2025-03-13,,2025-03-13,[58290],2 Tower House Hoddesdon England EN11 8UR,,,
