company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
OS INTERNATIONAL LIMITED,16698545,active,ltd,,,2025-09-05,,2025-09-05,[47722, 47910],Unit 1 E Biz Space London Colney United Kingdom AL2 1JG
ONKAR LONDON LTD,16702943,active,ltd,,,2025-09-08,,2025-09-08,[47110],Coxs Pond Store, 3 Hemel Hempstead United Kingdom HP2 4HW
CAZTRE LIMITED,16692824,active,ltd,,,2025-09-03,,2025-09-03,[70221, 70229],522 Hatfield Road St. Albans United Kingdom AL4 0SX
JOHN GRAHAM-BROWN LTD,16697099,active,ltd,,,2025-09-05,,2025-09-05,[58110],The Maylands Building Maylands Avenue Hemel Hempstead United Kingdom HP2 7TG
BALLARD PROPERTY GROUP LIMITED,16691795,active,ltd,,,2025-09-03,,2025-09-03,[64209],15 Heronsgate Road Chorleywood Rickmansworth England WD3 5BN
SAFECAP (UK) SERVICES LTD,16707971,active,ltd,,,2025-09-10,,2025-09-10,[82990],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS
BØLTIK 2 LTD,16708095,active,ltd,,,2025-09-10,,2025-09-10,[77110, 77210],C/O Auria London United Kingdom W1B 5AW
MERCANTILE BONDS AND SURETY LIMITED,16705985,active,ltd,,,2025-09-09,,2025-09-09,[99999],Pendragon House St. Albans England AL1 1LJ
ST'REGGIES LIMITED,16709955,active,ltd,,,2025-09-11,,2025-09-11,[86900],42 Bullsmoor Way Waltham Cross England EN8 8HT
G C PLASTERING LTD,16710173,active,ltd,,,2025-09-11,,2025-09-11,[43310],Belfry House Hertford England SG14 1BP
SAKISIYA INFRA LTD,16714492,active,ltd,,,2025-09-12,,2025-09-12,[68100, 68209],78 Queens Road Watford United Kingdom WD17 2LA
FHMC LIMITED,16716151,active,ltd,,,2025-09-15,,2025-09-15,[68209],Broad House Old Hatfield England AL9 5BG
GAMING SPACE LTD,16717802,active,ltd,,,2025-09-15,,2025-09-15,[93290],Arch 5 Theobolds Grove Walthamcross England EN8 7BG
MEN IN BLAZERS MEDIA NETWORK LIMITED,16711496,active,ltd,,,2025-09-11,,2025-09-11,[82990],Ashdon House Barnet United Kingdom EN5 5YL
TUPELO HONEY LIMITED,16717273,active,ltd,,,2025-09-15,,2025-09-15,[82990],110/112 Lancaster Road Barnet United Kingdom EN4 8AL
EIJI SYSTEMS LIMITED,16723856,active,ltd,,,2025-09-17,,2025-09-17,[32990],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP
ACRE BEDMOND LTD,16724025,active,ltd,,,2025-09-17,,2025-09-17,[68100, 68310],No 1 Wrotham Business Park Hertfordshire United Kingdom EN5 4SZ
OMV SPV LIMITED,16726042,active,ltd,,,2025-09-18,,2025-09-18,[68100, 68201, 68209, 68320],5 Marston Close Hemel Hempstead United Kingdom HP3 8NF
UNDERDOG ON TOP LIMITED,16722693,active,ltd,,,2025-09-16,,2025-09-16,[59112, 70229, 90030],5 Yeomans Court Hertford United Kingdom SG13 7HJ
HEART REEF LTD,16688685,active,ltd,,,2025-09-02,,2025-09-02,[64209],Sas House Kings Langley United Kingdom WD4 9JB
SECURLAB LTD,16710989,active,ltd,,,2025-09-11,,2025-09-11,[62090],13 Arm And Sword Lane Old Hatfield England AL9 5EH
FLMF SERVICES LTD,16731463,active,ltd,,,2025-09-21,,2025-09-21,[82190],4th Floor Radius House Watford England WD17 1HP
FARM FEST LTD,16685905,active,ltd,,,2025-09-01,,2025-09-01,[82301],11 Garden Court Welwyn Garden City England AL7 1BH
STUDIO PACHIRA LTD,16750962,active,ltd,,,2025-09-29,,2025-09-29,[85590],20 The Causeway Bishop's Stortford England CM23 2EJ
SOHO COMEDY FACTORY LTD,16752980,active,ltd,,,2025-09-30,,2025-09-30,[90010],Sas House Kings Langley England WD4 9JB
WORMALDS LIMITED,16709526,active,ltd,,,2025-09-10,,2025-09-10,[43220],1st Floor 2 Station Close Potters Bar England EN6 1TL
HARMONY NEUROPSYCHOLOGY CLINIC LIMITED,16738635,active,ltd,,,2025-09-24,,2025-09-24,[85600, 87200],55 Sheriff Way Watford WD25 7QS
THE REFUGE GARDEN LTD,16697420,active,ltd,,,2025-09-05,,2025-09-05,[68209],Office 25 John Dickinson Enterprise Centre, Stationers Place Hemel Hempstead England HP3 9QU
OVRSITE LTD,16703663,active,ltd,,,2025-09-08,,2025-09-08,[74202],14a Meadway Court Stevenage England SG1 2EF
SERENDIPITY ANEYN LIMITED,16709906,active,ltd,,,2025-09-11,,2025-09-11,[47910],23 Rowans Welwyn Garden City Hertfordshire United Kingdom AL7 1NZ
HARK WELLBEING LIMITED,16750617,active,ltd,,,2025-09-29,,2025-09-29,[96040],First Floor Baldock United Kingdom SG7 6QQ
LUXE RESIDENTIAL SERVICES LTD,16752406,active,ltd,,,2025-09-30,,2025-09-30,[38110, 81210, 81291, 81300],8 Mill Street Bishop's Stortford United Kingdom CM23 3DR
GREEN ROOM RENTALS LTD,16740050,active,ltd,,,2025-09-24,,2025-09-24,[68100, 68209],C J Associates Ltd, 53-55 Station Road Letchworth Garden City United Kingdom SG6 3BJ
TWL PROPERTY LEASEHOLD LTD,16739243,active,ltd,,,2025-09-24,,2025-09-24,[68100, 68209],159 High Street Barnet Hertfordshire United Kingdom EN5 5SU
THINKBRIDGE GLOBAL LIMITED,16733499,active,ltd,,,2025-09-22,,2025-09-22,[64209],Connected Accounting St Albans United Kingdom AL1 3TF
HEADCOUNT PAYROLL SERVICES LIMITED,16742283,active,ltd,,,2025-09-25,,2025-09-25,[82990],Second Floor Hitchin United Kingdom SG4 9SP
WHITE CITY TREE CARE LTD,16733464,active,ltd,,,2025-09-22,,2025-09-22,[81300],5 The Caravan Site Hertfordshire United Kingdom HP23 4QP
MCTAGUE INC LTD,16734090,active,ltd,,,2025-09-22,,2025-09-22,[90030],5 Elstree Gate Borehamwood United Kingdom WD6 1JD
V-TWIN CAFE LTD,16734397,active,ltd,,,2025-09-22,,2025-09-22,[56102],207 Crescent Road Hertfordshire England EN4 8SB
CPE (NEW HOMES) LIMITED,16735050,active,ltd,,,2025-09-22,,2025-09-22,[68100],32a Barham Avenue Elstree United Kingdom WD6 3PN
MONTELLORS LTD,16739635,active,ltd,,,2025-09-24,,2025-09-24,[85510],3 West View Hatfield United Kingdom AL10 0PH
PHOENIX RESULTS LTD,16739665,active,ltd,,,2025-09-24,,2025-09-24,[47190],Office 4, 1st Floor Watford United Kingdom WD17 2DJ
ANKIYA PARTNERS LIMITED,16733915,active,ltd,,,2025-09-22,,2025-09-22,[70229],4 St. Martins Northwood England HA6 2BP
WATFORD TYRES LIMITED,16738108,active,ltd,,,2025-09-23,,2025-09-23,[45200],Unit 9 Wiggenhall Road Watford England WD18 0FL
JETTA SERVICES LTD,16739462,active,ltd,,,2025-09-24,,2025-09-24,[81222],Red Sky House Fairclough Hall, Halls Green Hitchin England SG4 7DP
FUSION GLAZING SYSTEMS LTD,16745355,active,ltd,,,2025-09-26,,2025-09-26,[64209],Unit 4 Grovelands Hemel Hempstead England HP2 7TE
ELITE AURA HOMES LTD,16749209,active,ltd,,,2025-09-29,,2025-09-29,[43999],Unit 17 Orbital 25 Business Park Dwight Road Watford United Kingdom WD18 9DA
EVERCLEVER LTD,16731757,active,ltd,,,2025-09-21,,2025-09-21,[62020],2nd Floor, Unicorn House Potters Bar United Kingdom EN6 1TL
BUTTEVANT PROPERTIES LIMITED,16750885,active,ltd,,,2025-09-29,,2025-09-29,[68209],6 Petworth Close Stevenage England SG2 8UP
STARR SALES LIMITED,16749055,active,ltd,,,2025-09-29,,2025-09-29,[46190],23 Whitfield Way Rickmansworth United Kingdom WD3 8QT
V&U INVESTMENT HOLDING LTD,16752654,active,ltd,,,2025-09-30,,2025-09-30,[68100, 68209, 68320],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX
MIMIC STAGE SCHOOL LTD,16743738,active,ltd,,,2025-09-25,,2025-09-25,[90010],1 Green Close Stevenage United Kingdom SG2 8BP
BVM CONSULTS LTD,16749531,active,ltd,,,2025-09-29,,2025-09-29,[62020, 63110, 78109, 96090],149, Ford House, 4 Leicester Road Barnet United Kingdom EN5 5DY
ROZH PRODUCTION LIMITED,16745813,active,ltd,,,2025-09-26,,2025-09-26,[56210],46 Tallents Crescent Harpenden United Kingdom AL5 5BS
DEWAR & WILSON LTD,16701005,active,ltd,,,2025-09-08,,2025-09-08,[71111],47 Mitre Court Hertford United Kingdom SG14 1BQ
UNITYPLACELIVING LTD,16711174,active,ltd,,,2025-09-11,,2025-09-11,[87300, 87900, 88100, 88990],15 Bull Plain Hertford United Kingdom SG14 1DX
AMORY LUX LTD,16726523,active,ltd,,,2025-09-18,,2025-09-18,[47540, 47750],Unit 1 Borehamwood Enterprise Centre Borehamwood England WD6 4RQ
HIVE HOME SOLUTIONS LTD,16727067,active,ltd,,,2025-09-18,,2025-09-18,[68209],Top Floor, Leeside Works Stanstead Abbotts United Kingdom SG12 8DL
SKY CREATIVE FOR TRADING AND CONTRACTING LTD,16728212,active,ltd,,,2025-09-18,,2025-09-18,[43290, 46140, 68209, 81100],1st Floor, Spitalfields House Borehamwood England WD6 2FX
SOUTHERN GROUNDS SERVICES LIMITED,16736727,active,ltd,,,2025-09-23,,2025-09-23,[81300],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
IIM CARS LIMITED,16734327,active,ltd,,,2025-09-22,,2025-09-22,[49410],24 Durban Road East Watford WD18 0RN
MNS FABRICS LIMITED,16740839,active,ltd,,,2025-09-24,,2025-09-24,[46410],137 Watling Street Radlett England WD7 7NQ
WD.MOTORCYCLES. LTD,16699938,active,ltd,,,2025-09-08,,2025-09-08,[45200, 77110],61 Brookfild Lane East 61 Brookfield Lane East Waltham Cross United Kingdom EN8 0PZ
NANOMAB LIMITED,16730409,active,ltd,,,2025-09-19,,2025-09-19,[82990],C/O Azr Limited, Catalyst House 720 Centennial Court Borehamwood United Kingdom WD6 3SY
EL-ROI LOGISTICS DISTRIBUTION LIMITED,16745136,active,ltd,,,2025-09-26,,2025-09-26,[49410, 52101, 53202],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW
OBSIDARA STUDIO LTD,16746068,active,ltd,,,2025-09-26,,2025-09-26,[82990],1-2 Kirk Cottages High Street Borehamwood England WD6 3EY
FOUR LINE MATTER LIMITED,16736102,active,ltd,,,2025-09-23,,2025-09-23,[69102],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW
ASSEMBLE SPV 2 LIMITED,16730166,active,ltd,,,2025-09-19,,2025-09-19,[41100],20 Abbots Business Park Kings Langley United Kingdom WD4 8FR
CHRIS ZUCCALA PHYSIOTHERAPY LTD,16745758,active,ltd,,,2025-09-26,,2025-09-26,[86900],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW
SEQTX LTD,16741149,active,ltd,,,2025-09-24,,2025-09-24,[74909],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW
COGNIORA CONSULTING LTD,16743129,active,ltd,,,2025-09-25,,2025-09-25,[70229],65 Knowl Piece Wilbury Way Hitchin United Kingdom SG4 0TY
ZEIA LTD,16754044,active,ltd,,,2025-09-30,,2025-09-30,[56102],64 Wilbury Way Hitchin United Kingdom SG4 0TP
DRYSWIFT LTD,16692979,active,ltd,,,2025-09-03,,2025-09-03,[27510],The Roundhouse Nine Ashes Off Acorn Street Ware England SG12 8PL
MRK TALENT SOLUTIONS LTD,16697839,active,ltd,,,2025-09-05,,2025-09-05,[78109],The Counting House Tring United Kingdom HP23 5TE
MC CATERING SERVICES LTD,16703013,active,ltd,,,2025-09-08,,2025-09-08,[46370, 56103, 56210],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ
PHARMA SHIELD FIRE PROTECTION LTD,16705495,active,ltd,,,2025-09-09,,2025-09-09,[43290],2 Deadmans Ash Lane Rickmansworth United Kingdom WD3 6AL
MONDEGO LABS LTD,16708213,active,ltd,,,2025-09-10,,2025-09-10,[62012, 72190],Sas House Kings Langley England WD4 9JB
AFTERBURNER STARDUST LTD,16709911,active,ltd,,,2025-09-11,,2025-09-11,[58210, 62011],Sas House Friarswood Kings Langley United Kingdom WD4 9JB
AFTERBURNER GENESIS LTD,16709909,active,ltd,,,2025-09-11,,2025-09-11,[58210, 62011],Sas House Friarswood Kings Langley United Kingdom WD4 9JB
YOS BAKER STREET LTD,16702209,active,ltd,,,2025-09-08,,2025-09-08,[86900],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG
THE BREAKFAST NOOK LIMITED,16707291,active,ltd,,,2025-09-10,,2025-09-10,[56102],103 High Street Waltham Cross United Kingdom EN8 7AN
COUNT ON ME TUTOR LTD,16701266,active,ltd,,,2025-09-08,,2025-09-08,[85600],15 Breakmead Hertfordshire United Kingdom AL7 3HG
AMATSA LIMITED,16701727,active,ltd,,,2025-09-08,,2025-09-08,[46370, 64910],1st & 2nd Floor 2 West Street Ware England SG12 9EE
G & A SCAFFOLDING LIMITED,16705422,active,ltd,,,2025-09-09,,2025-09-09,[43991],Blossom View Howe Green Bishop's Stortford United Kingdom CM22 7UF
NEWKOM LTD,16708148,active,ltd,,,2025-09-10,,2025-09-10,[64209],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
E.DANIELS LTD,16710888,active,ltd,,,2025-09-11,,2025-09-11,[86230],Y Beudy Carmarthen Wales SA32 8RJ
SOLARA HAVEN LTD,16705339,active,ltd,,,2025-09-09,,2025-09-09,[82990],Rear Of 17 Plantagenet Road Barnet United Kingdom EN5 5JG
TUDOR LETTINGS AND ESTATES (GB) LIMITED,16709971,active,ltd,,,2025-09-11,,2025-09-11,[68310],54 Market Street Watford England WD18 0PY
GLOUCESTER QC CAPITAL LIMITED,16733178,active,ltd,,,2025-09-22,,2025-09-22,[56101],No. 5 Cosmo House Barnet England EN5 4BS
FIZZ SERVICES LTD,16742310,active,ltd,,,2025-09-25,,2025-09-25,[90030],94 Moffats Lane Hatfield United Kingdom AL9 7RW
RAGHAVAN ASTUTE MENTORS & ADVISORS LIMITED,16725378,active,ltd,,,2025-09-17,,2025-09-17,[85590, 96090],Suite 32 New Mead Barn Bishop's Stortford United Kingdom CM23 1JG
MAGIC CONSULTANCY LTD,16690270,active,ltd,,,2025-09-02,,2025-09-02,[82990],Savinvest Arquen House St. Albans England AL3 4PQ
CES ELECTRICS LIMITED,16748276,active,ltd,,,2025-09-29,,2025-09-29,[43210],Urban House Berkhamsted England HP4 1EH
FOOD INNOVATION TECHNOLOGY LIMITED,16724507,active,ltd,,,2025-09-17,,2025-09-17,[56290],Unit 10, Delta Court Borehamwood England WD6 1FJ
JWP GROUNDWORKS & CIVILS LTD,16699754,active,ltd,,,2025-09-07,,2025-09-07,[41100],24 Church Street Rickmansworth United Kingdom WD3 1DD
JP CHESHIRE LIMITED,16712331,active,ltd,,,2025-09-11,,2025-09-11,[68100, 68201],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX
CABLINKS ESTABLISHMENTS LIMITED,16718250,active,ltd,,,2025-09-15,,2025-09-15,[46390, 46900, 52290],83a Station Road Barnet United Kingdom EN5 1PX
LE TRANSPORT LIMITED,16734455,active,ltd,,,2025-09-22,,2025-09-22,[49320, 49390],14 Edward Amey Close Watford United Kingdom WD25 9PD
SCHERTEL AVL LTD,16729785,active,ltd,,,2025-09-19,,2025-09-19,[74100],14 Upper Clabdens Ware England SG12 7HB
THE BROWN SUITE LIMITED,16730633,active,ltd,,,2025-09-19,,2025-09-19,[90010],Sas House Kings Langley England WD4 9JB
ZEZEY LIMITED,16726903,active,ltd,,,2025-09-18,,2025-09-18,[55100],31 Bryan Close Barnet England EN5 2TG
REP FOOTBALL LTD,16728706,active,ltd,,,2025-09-19,,2025-09-19,[93199],Top Floor, Leeside Works Stanstead Abbotts United Kingdom SG12 8DL
ENTERPRISE BUILDING SYSTEM LTD,16730459,active,ltd,,,2025-09-19,,2025-09-19,[41100, 46730],1 Oaks Court Borehamwood United Kingdom WD6 1GS
CRESTBLOOMLAMPS LTD,16733463,active,ltd,,,2025-09-22,,2025-09-22,[47910],12 Wilbury Way, Hitchin Hertfordshire United Kingdom SG4 0TY
FUSE ULTIMATE HOLDINGS LTD,16733702,active,ltd,,,2025-09-22,,2025-09-22,[64999],5 Elstree Gate Borehamwood United Kingdom WD6 1JD
VETSURE LIMITED,16727914,active,ltd,,,2025-09-18,,2025-09-18,[99999],1st Floor Helios Court Hatfield United Kingdom AL10 9NE
RD SPA LIMITED,16728316,active,ltd,,,2025-09-18,,2025-09-18,[86230],Coppersun Suite Rickmansworth England WD3 1RE
AJS RECOVERY LIMITED,16728918,active,ltd,,,2025-09-19,,2025-09-19,[45200],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX
DBATTERSBY HOLDINGS LTD,16730576,active,ltd,,,2025-09-19,,2025-09-19,[64209],1st Floor, 5 Century Court Watford England WD18 9PX
SEARS INVESTMENT GROUP LIMITED,16732409,active,ltd,,,2025-09-22,,2025-09-22,[64209],Suite 20 Pluto Accountancy New Mead Barn Bishops Stortford United Kingdom CM23 1JG
GUGENHEIM TURNER CONSULTING AND INVESTMENTS LIMITED,16720417,active,ltd,,,2025-09-16,,2025-09-16,[70229],St Marks Cottage Hatfield United Kingdom AL9 6EB
MD2 RETAIL LTD,16713409,active,ltd,,,2025-09-12,,2025-09-12,[47110],C/O Michael Filiou Ltd Salisbury House Potters Bar England EN6 5AS
AZAZ CONSTRUCTION LIMITED,16719087,active,ltd,,,2025-09-15,,2025-09-15,[43390],18 Kilworth Close Welwyn Garden City England AL7 3HR
LEESON AND ASSOCIATES LIMITED,16711972,active,ltd,,,2025-09-11,,2025-09-11,[78109, 78200],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX
WOODSIDE PARK DENTAL LIMITED,16714226,active,ltd,,,2025-09-12,,2025-09-12,[86230],4a Church Road Welwyn Garden City England AL8 6NE
ALDER DESIGN AND CONSTRUCTION LTD,16714712,active,ltd,,,2025-09-12,,2025-09-12,[41202, 43290],32 Dawes Lane Rickmansworth England WD3 6BB
THE SHIELD PLATFORM LTD,16714940,active,ltd,,,2025-09-12,,2025-09-12,[62012],Unit 2 Hillside Farm Hillside Farm Ware England SG12 9SH
ACRE CREWS HILL LTD,16724037,active,ltd,,,2025-09-17,,2025-09-17,[68100, 68310],No 1 Wrotham Business Park Hertfordshire United Kingdom EN5 4SZ
L&JB PROPERTIES LTD,16718223,active,ltd,,,2025-09-15,,2025-09-15,[68209],32 Reynards Road Welwyn United Kingdom AL6 9TP
PLAYBOOK PLUS LTD,16721101,active,ltd,,,2025-09-16,,2025-09-16,[73110],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
D & C (WHEATHAMPSTEAD) LTD,16722538,active,ltd,,,2025-09-16,,2025-09-16,[41100],10 Prospect Place Welwyn England AL6 9EW
JC GARDEN SERVICES HERTS LIMITED,16714400,active,ltd,,,2025-09-12,,2025-09-12,[81300],15 The Swallows Welwyn Garden City United Kingdom AL7 1BX
PILL BRIDGE PHARMA LTD,16714573,active,ltd,,,2025-09-12,,2025-09-12,[46460],78 Queens Road Watford United Kingdom WD17 2LA
DRAFT EDIT LTD,16711348,active,ltd,,,2025-09-11,,2025-09-11,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
EMMETT & CO. ESTATES LTD,16724202,active,ltd,,,2025-09-17,,2025-09-17,[68310],Building 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP
ASTRA AQUARII PRODUCTIONS LTD,16687768,active,ltd,,,2025-09-02,,2025-09-02,[59112, 59120],32 Cowper Crescent Hertford United Kingdom SG14 3DZ
OLIX LIMITED,16689837,active,ltd,,,2025-09-02,,2025-09-02,[47990],5 A Blackwell Road Kings Langley England WD4 8NE
NEVER ALONE LTD,16694646,active,ltd,,,2025-09-04,,2025-09-04,[70229],Office 4 1st Floor Watford United Kingdom WD17 2DJ
URO-ONCOLOGY CANCER CARE LTD,16694716,active,ltd,,,2025-09-04,,2025-09-04,[86900],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX
JEN (NEW HOMES) LIMITED,16695228,active,ltd,,,2025-09-04,,2025-09-04,[68100],7 Aldenham Grove Radlett United Kingdom WD7 7BW
LACO HOLDINGS LTD,16695819,active,ltd,,,2025-09-04,,2025-09-04,[42990],Suite 1 Hardy House Berkhamsted United Kingdom HP4 1EF
CONSTRUCTIVA LETTINGS LIMITED,16697196,active,ltd,,,2025-09-05,,2025-09-05,[68209],58 Meadway Barnet England EN5 5LB
EVERWELL LABS LIMITED,16697199,active,ltd,,,2025-09-05,,2025-09-05,[47910, 82990],55 Marsden Road Welwyn Garden City United Kingdom AL8 6YH
LLPRODATA LIMITED,16712852,active,ltd,,,2025-09-12,,2025-09-12,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
CHARIS GLOBAL SOLUTIONS LTD,16744567,active,ltd,,,2025-09-26,,2025-09-26,[49320, 49390],Centre 42, 42 Watling Street Radlett England WD7 7NN
MISFITS OPERATIONS LIMITED,16744852,active,ltd,,,2025-09-26,,2025-09-26,[56302],7-8 Portmill Lane Hitchin England SG5 1DJ
MNK CO SOLUTIONS LTD,16746236,active,ltd,,,2025-09-26,,2025-09-26,[86230],65a High Street Herts England SG1 3AQ
LONDON TOY SHOP EVENTS LTD,16749933,active,ltd,,,2025-09-29,,2025-09-29,[82301],Unit 28 Hb Accountants Hoddesdon United Kingdom EN11 0LB
BRADELLS HOLDINGS LTD,16742858,active,ltd,,,2025-09-25,,2025-09-25,[64209],First Floor Stevenage United Kingdom SG1 3HR
CUBE INSTALLATIONS CO. LTD,16742923,active,ltd,,,2025-09-25,,2025-09-25,[43330],Unit A4 Nup End Business Centre Old Knebworth United Kingdom SG3 6QJ
HOME IMPROVEMENTS FOR TODAY LTD,16743884,active,ltd,,,2025-09-25,,2025-09-25,[25120],Unit 32 Shangri La Farm Stevenage United Kingdom SG1 2JE
SHTEAM SNACKS LTD,16748570,active,ltd,,,2025-09-29,,2025-09-29,[47990],Spitalfields House Borehamwood United Kingdom WD6 2FX
THORPE PROPERTY HOLDINGS LIMITED,16743000,active,ltd,,,2025-09-25,,2025-09-25,[68209],First Floor Baldock United Kingdom SG7 6QQ
MARSHALLWAYS LTD,16750188,active,ltd,,,2025-09-29,,2025-09-29,[68209],28 Birchwood Close Hatfield United Kingdom AL10 0PP
SAXON EASE LTD,16736623,active,ltd,,,2025-09-23,,2025-09-23,[41202],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ
ENERGENIC TECHNOLOGY LIMITED,16736911,active,ltd,,,2025-09-23,,2025-09-23,[70229],October House 5 Little Gaddesden Berkhamsted United Kingdom HP4 1PA
LENA RESTAURANT AND CATERING LIMITED,16738101,active,ltd,,,2025-09-23,,2025-09-23,[56101, 56102],81 Turners Hill Waltham Cross United Kingdom EN8 9BD
NL4E PROPERTY LIMITED,16739212,active,ltd,,,2025-09-24,,2025-09-24,[68100],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
DBATTERSBY PROPERTIES LTD,16736515,active,ltd,,,2025-09-23,,2025-09-23,[68209],1st Floor, 5 Century Court Watford England WD18 9PX
REALIGN RESTORE REFORMER PILATES STUDIO LIMITED,16740610,active,ltd,,,2025-09-24,,2025-09-24,[86900],Belfry House Hertford England SG14 1BP
DEN INVEST LTD,16739403,active,ltd,,,2025-09-24,,2025-09-24,[64209],1 Bruce Way Hertfordshire United Kingdom EN8 8AJ
BLOOM HOMES & DEVELOPMENTS LIMITED,16739621,active,ltd,,,2025-09-24,,2025-09-24,[68100],7-8 Portmill Lane Hitchin England SG5 1DJ
ULTIMATE8 FITNESS HUB LTD,16737174,active,ltd,,,2025-09-23,,2025-09-23,[93130],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ
TT SUPPLY LIMITED,16753137,active,ltd,,,2025-09-30,,2025-09-30,[79909],Tt Supply, 165, Highstone House Barnet United Kingdom EN5 5SU
YM LEE PSYCHOLOGY SERVICES LIMITED,16751956,active,ltd,,,2025-09-30,,2025-09-30,[74909],3 Wilstone Drive St. Albans England AL4 9TT
MAHRAJ CAPITAL LIMITED,16751024,active,ltd,,,2025-09-29,,2025-09-29,[64991, 66120],Marshall Vizard, 26 Station Road Watford United Kingdom WD17 1JU
MUVE GYM LTD,16752128,active,ltd,,,2025-09-30,,2025-09-30,[93130],Unit 1b Focus Four Letchworth Garden City England SG6 2TU
J BOOT LTD,16753859,active,ltd,,,2025-09-30,,2025-09-30,[70229],3 The Chapmans Hitchin England SG5 2TS
K&W MOTOR IMPORTS LTD,16684542,active,ltd,,,2025-09-01,,2025-09-01,[45112],Unit B1&2 Park Lane Paradise Cheshunt United Kingdom EN7 6PX
FROGNAL39E LTD,16690544,active,ltd,,,2025-09-03,,2025-09-03,[68100],2nd Floor Ashdon House Barnet United Kingdom EN5 5YL
SOUL REAL ESTATE LTD,16690618,active,ltd,,,2025-09-03,,2025-09-03,[64209],Unit 12a Brickfields Industrial Estate Hemel Hempstead United Kingdom HP2 7QA
