company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
JETTY PARTNERS UK LIMITED,17092081,active,ltd,,,2026-03-16,,2026-03-16,[82990],C/O Sobell Rhodes Llp The Kinetic Centre Elstree, Borehamwood United Kingdom WD6 4PJ
AILUX LIMITED,17085618,active,ltd,,,2026-03-11,,2026-03-11,[62012, 72110],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
FMR PLASTICS LIMITED,17089010,active,ltd,,,2026-03-12,,2026-03-12,[86220],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
SCHLEIDER LIMITED,17089558,active,ltd,,,2026-03-13,,2026-03-13,[62012, 62020, 90010],103 High Street Waltham Cross United Kingdom EN8 7AN
ARROW PROPERTY DEVELOPER LTD,17084543,active,ltd,,,2026-03-11,,2026-03-11,[64209],1 Knightsbridge Green London United Kingdom SW1X 7QA
RED BRICK FREEHOLDERS LIMITED,17094302,active,ltd,,,2026-03-16,,2026-03-16,[68320],Chequers House Stevenage United Kingdom SG1 3LL
GRESTA CONSTRUCTION LTD,17084421,active,ltd,,,2026-03-11,,2026-03-11,[41202],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE
WIND ROSE POWER LTD,17095139,active,ltd,,,2026-03-16,,2026-03-16,[35110],Wellington House London Colney United Kingdom AL2 1HA
MONTTABER HOLDINGS LIMITED,17095700,active,ltd,,,2026-03-16,,2026-03-16,[64209],Unit 9 Fieldings Road Waltham Cross England EN8 9TL
R & R LANDSCAPING LIMITED,17096159,active,ltd,,,2026-03-17,,2026-03-17,[81300],Belfry House Hertford England SG14 1BP
SOMETHING HAPPENING LTD,17096687,active,ltd,,,2026-03-17,,2026-03-17,[70229, 90010, 90020, 90030],Suite 3 Middlesex House Stevenage United Kingdom SG1 2EF
BARAZI ANTIQUES LTD,17097560,active,ltd,,,2026-03-17,,2026-03-17,[47791, 47799],14 Alwyn Close Borehamwood United Kingdom WD6 3LF
CORE EDGE LIVING LTD,17097550,active,ltd,,,2026-03-17,,2026-03-17,[43999],43 Lilburn Avenue Royston United Kingdom SG8 7FH
R & R GARDEN MAINTENANCE LIMITED,17096127,active,ltd,,,2026-03-17,,2026-03-17,[82990],Belfry House Hertford England SG14 1BP
SHAW CIVIL WORKS LTD,17096759,active,ltd,,,2026-03-17,,2026-03-17,[42990],4th Floor Radius House Watford England WD17 1HP
ASTER HOUSE LTD,17099515,active,ltd,,,2026-03-18,,2026-03-18,[55100],145-147 Hatfield Road St. Albans England AL1 4JY
AQUATHIRST UK LTD,17099514,active,ltd,,,2026-03-18,,2026-03-18,[56290],7 Croft Lane Kings Langley England WD4 9DX
AVID GROUP HOLDINGS LIMITED,17101015,active,ltd,,,2026-03-18,,2026-03-18,[82990],C/O Michael Filiou Ltd, Salisbury House Potters Bar United Kingdom EN6 5AS
FRONTIZO LIMITED,17103503,active,ltd,,,2026-03-19,,2026-03-19,[64209],7-8 Portmill Lane Hitchin England SG5 1DJ
GST PSYCHIATRY LTD,17100679,active,ltd,,,2026-03-18,,2026-03-18,[86220],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE
HUXLEY SERVICES LTD,17101346,active,ltd,,,2026-03-18,,2026-03-18,[70229],Unit 18 Gateway 1000 Whittle Way Stevenage England SG1 2FP
GREAT BRITISH TEDDY BEAR HOLDINGS LIMITED,17103449,active,ltd,,,2026-03-19,,2026-03-19,[64209],2nd Floor, Unicorn House Potters Bar England EN6 1TL
LEARN HAPPY EDUCATION LTD,17106105,active,ltd,,,2026-03-20,,2026-03-20,[85590],53 Elizabeth Ii Avenue Berkhamsted England HP4 3BF
ONLINEWILLS LTD,17103551,active,ltd,,,2026-03-19,,2026-03-19,[69109],Ellerd House Amenbury Lane Harpenden United Kingdom AL5 2EJ
UNAVTS UK MIDCO LIMITED,17103650,active,ltd,,,2026-03-19,,2026-03-19,[64209],Unit 17 Orbital 25 Business Park Watford United Kingdom WD18 9DA
PETER HARTNELL PRECIOUS METALS HOLDINGS LIMITED,17103797,active,ltd,,,2026-03-19,,2026-03-19,[24410],Cherry House Radlett England WD7 8EN
CARD RESERVE LIMITED,17106289,active,ltd,,,2026-03-20,,2026-03-20,[47650],Building 1 St. Cross Chambers Hoddesdon United Kingdom EN11 8LQ
THE HR OFFICE LTD,17108266,active,ltd,,,2026-03-23,,2026-03-23,[70229],2 Hubbards Road Rickmansworth England WD3 5JJ
HANILTECH LIMITED,17108997,active,ltd,,,2026-03-23,,2026-03-23,[62012, 62020, 62090],22 Williams Court Cheshunt United Kingdom EN8 9FF
BOWSHER CO LTD,17109402,active,ltd,,,2026-03-23,,2026-03-23,[78109, 78200],3 Bowsher Court Ware United Kingdom SG12 7EB
QUANTS STREET LTD,17109837,active,ltd,,,2026-03-23,,2026-03-23,[74902],C/O Goodier Smith & Watts Devonshire House Borehamwood England WD6 1QQ
IBEX CHANGE & TRANSFORMATION LIMITED,17110469,active,ltd,,,2026-03-23,,2026-03-23,[74909],4 The Gardens Baldock England SG7 6AD
PETER HARTNELL INVESTMENTS LIMITED,17110680,active,ltd,,,2026-03-23,,2026-03-23,[24410],Cherry House Radlett, Hertfordshire England WD7 8EN
TENGRIX LIMITED,17112072,active,ltd,,,2026-03-24,,2026-03-24,[68100, 68209],81 Turners Hill Waltham Cross United Kingdom EN8 9BD
ASSUREWISE LIMITED,17112576,active,ltd,,,2026-03-24,,2026-03-24,[70229],11 Garden Court Welwyn Garden City England AL7 1BH
HOUSE OF CHALLAH LTD,17108495,active,ltd,,,2026-03-23,,2026-03-23,[62012],County End Magpie Hall Road Bushey United Kingdom WD23 1NY
TSL PROPERTY RENTALS LIMITED,17110420,active,ltd,,,2026-03-23,,2026-03-23,[68100, 68209, 68320],Unit 4 Stirling Court Yard Borehamwood England WD6 2FX
AUTO REFURB BUSHEY LIMITED,17114062,active,ltd,,,2026-03-24,,2026-03-24,[45200],1 Pickets Close Bushey England WD23 1NL
GRIGGS HOMES LIMITED,17116385,active,ltd,,,2026-03-25,,2026-03-25,[41201],The Grain Yard Borehamwood England WD6 4DG
MORPHEUS AI LTD,17101516,active,ltd,,,2026-03-18,,2026-03-18,[62012, 62090, 63110],Arquen House St. Albans England AL3 4PQ
WETHERALL PROPERTY SERVICES LIMITED,17128195,active,ltd,,,2026-03-31,,2026-03-31,[96090],Sas House Friarswood Kings Langley United Kingdom WD4 9JB
WOW DAY CARE LIMITED,17081623,active,ltd,,,2026-03-10,,2026-03-10,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
TES PAYROLL LIMITED,17083257,active,ltd,,,2026-03-10,,2026-03-10,[82990],271 High Street Berkhamsted United Kingdom HP4 1AA
AFC CONSTRUCTION SERVICES LTD,17116253,active,ltd,,,2026-03-25,,2026-03-25,[41201, 41202],2 Alleyns Road Stevenage United Kingdom SG1 3PP
SLIMS WORKWEAR LTD,17119025,active,ltd,,,2026-03-26,,2026-03-26,[47710],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE
HOUSE OF ALCHEMY LTD,17126232,active,ltd,,,2026-03-30,,2026-03-30,[56103],17 Green Lane St.Albans United Kingdom AL3 6HE
OCORLA LIMITED,17116567,active,ltd,,,2026-03-25,,2026-03-25,[70229],Arquen House St. Albans England AL3 4PQ
STERLING HEARTH LIMITED,17117560,active,ltd,,,2026-03-26,,2026-03-26,[41100, 68100, 68320],10 Brookside Road Watford United Kingdom WD19 4BP
RFPK HOLDINGS LIMITED,17117847,active,ltd,,,2026-03-26,,2026-03-26,[64209],First Floor Sheraton House Chorleywood United Kingdom WD3 5LH
RB BUILDING AND RESTORATION LTD,17119511,active,ltd,,,2026-03-26,,2026-03-26,[43390],39 The Metro Centre Watford United Kingdom WD18 9SB
PROBAND LTD,17123966,active,ltd,,,2026-03-30,,2026-03-30,[61100, 61900],Office 4 1st Floor Watford United Kingdom WD17 2DJ
VALAHIA CARS LTD,17118306,active,ltd,,,2026-03-26,,2026-03-26,[45112, 45310, 47990, 62012],Flat 1 98-112 Shenley Road Borehamwood United Kingdom WD6 1EB
NAYEEMJAMIL LTD,17119151,active,ltd,,,2026-03-26,,2026-03-26,[86230],Unit 4 Grovelands Hemel Hempstead United Kingdom HP2 7TE
CAPELLA PROPERTY SERVICES LTD,17120321,active,ltd,,,2026-03-27,,2026-03-27,[68320],11 Greenleaf House Darkes Lane Potters Bar United Kingdom EN6 1AE
SHREEM8891 HOLDINGS LIMITED,17120631,active,ltd,,,2026-03-27,,2026-03-27,[64209],7-8 Portmill Lane Hitchin England SG5 1DJ
BAYFORD ESTATE MANAGEMENT LTD,17123828,active,ltd,,,2026-03-30,,2026-03-30,[01621],Cart Lodge Harps Farm Great Hallingbury United Kingdom CM22 7TL
MTB MARKETING LTD,17124248,active,ltd,,,2026-03-30,,2026-03-30,[70210, 73110],1st Floor, 5 Century Court Watford England WD18 9PX
OSBOURNE VILLAS LTD,17127763,active,ltd,,,2026-03-31,,2026-03-31,[68209],34a Corner House Wyatts Road Rickmansworth United Kingdom WD3 5TE
ERIN SCENIC PAINTING LTD,17118345,active,ltd,,,2026-03-26,,2026-03-26,[43341],32 Silk Mill Road St. Albans England AL3 7GE
BB&F INVESTMENTS LTD,17120951,active,ltd,,,2026-03-27,,2026-03-27,[68100, 68209],159 High Street Barnet Hertfordshire United Kingdom EN5 5SU
LANGLEY FIRE PROTECTION LIMITED,17092499,active,ltd,,,2026-03-16,,2026-03-16,[43999],Unit 1 Kings Park Kings Langley England WD4 8ST
BO MORGAN FILM LTD,17091389,active,ltd,,,2026-03-13,,2026-03-13,[59112],2 Tower House Hoddesdon England EN11 8UR
ALTRAPOINT LTD,17116229,active,ltd,,,2026-03-25,,2026-03-25,[99999],2 Tower House Hoddesdon United Kingdom EN11 8UR
BLACKLINE PRODUCTIONS LIMITED,17104081,active,ltd,,,2026-03-19,,2026-03-19,[59200],C/O Modhas Accounting Services Limited 165 High Street Barnet United Kingdom EN5 5SU
SEQURA LTD,17105198,active,ltd,,,2026-03-20,,2026-03-20,[96090],C/O Modhas Accounting Services Limited 165 High Street Barnet United Kingdom EN5 5SU
MILESTONES RECRUITMENT LTD,17095655,active,ltd,,,2026-03-16,,2026-03-16,[78109],First Floor 7 Viewpoint Office Village Stevenage United Kingdom SG1 2EQ
NSM GROUP LTD,17090261,active,ltd,,,2026-03-13,,2026-03-13,[43390],The Maylands Building Hemel Hempstead United Kingdom HP2 7TG
ALARAKHIA PSYCHOLOGICAL WELLBEING LTD,17097935,active,ltd,,,2026-03-17,,2026-03-17,[86900],Fao Workwell Accountancy Ground Floor East - Hyde Watford England WD17 1JW
AGFAN DESIGN LIMITED,17062220,active,ltd,,,2026-03-02,,2026-03-02,[47770],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
2AF PROPERTIES LTD,17065505,active,ltd,,,2026-03-02,,2026-03-02,[68209],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
TENDING UK LTD,17067152,active,ltd,,,2026-03-03,,2026-03-03,[62012, 62090],17 Canons Close Radlett England WD7 7ER
MASTERLORD HOLDINGS LIMITED,17066534,active,ltd,,,2026-03-03,,2026-03-03,[64209],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP
EVERCREST GAS AND HEATING LIMITED,17062794,active,ltd,,,2026-03-02,,2026-03-02,[43220],Kubilay & Co Accountants 207 Crescent Road Barnet United Kingdom EN4 8SB
RECLAIM RESIDENTIAL LIMITED,17062729,active,ltd,,,2026-03-02,,2026-03-02,[68100],C/O Hillier Hopkins Llp First Floor, Radius House Watford United Kingdom WD17 1HP
ANCHOR INVESTMENTS HOLDING LIMITED,17063235,active,ltd,,,2026-03-02,,2026-03-02,[64209],81 Turners Hill Waltham Cross United Kingdom EN8 9BD
AUTO ELECTRICAL LTD,17067953,active,ltd,,,2026-03-03,,2026-03-03,[45200],4th Floor Radius House Watford England WD17 1HP
HCE CONSULTING LTD,17069927,active,ltd,,,2026-03-04,,2026-03-04,[74909],38 Townsend Drive St. Albans England AL3 5RJ
SMPA GROUP LTD,17069255,active,ltd,,,2026-03-04,,2026-03-04,[68100, 68209, 68320],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX
D & G APPLIANCE REPAIRS AND SERVICING LIMITED,17072486,active,ltd,,,2026-03-05,,2026-03-05,[95220],7-8 Portmill Lane Hitchin England SG5 1DJ
ARR9 LIMITED,17070481,active,ltd,,,2026-03-04,,2026-03-04,[82990],1 Beauchamp Court Barnet United Kingdom EN5 5TZ
LDS TEST TECHNOLOGIES LIMITED,17070872,active,ltd,,,2026-03-04,,2026-03-04,[28990],Jarman Way Royston United Kingdom SG8 5BQ
HAGGLE HIVE LTD,17071269,active,ltd,,,2026-03-04,,2026-03-04,[62090],Gnr8 49 Watford England WD17 1HP
VAN RENTALS 247 LIMITED,17072202,active,ltd,,,2026-03-05,,2026-03-05,[77110],1 Allied Business Centre Harpenden England AL5 4UT
FRACTIONATA LIMITED,17073239,active,ltd,,,2026-03-05,,2026-03-05,[69201],Suites 9-12 The Hive Old Stevenage United Kingdom SG1 3HW
ADA JEWELLERY LIMITED,17074462,active,ltd,,,2026-03-06,,2026-03-06,[32120, 32130, 46480, 95250],81 Turners Hill Waltham Cross England EN8 9BD
THEY CRAVE PRODUCTION LIMITED,17075334,active,ltd,,,2026-03-06,,2026-03-06,[59111, 59112, 59120, 59131],79 Caxton Road Hoddesdon England EN11 9NZ
HYDR8 LIMITED,17076897,active,ltd,,,2026-03-09,,2026-03-09,[11070],Flat 1 Miyla View Roe Green Close Hertfordshire United Kingdom AL10 9PD
BLACK AND CONCRETE LTD,17077480,active,ltd,,,2026-03-09,,2026-03-09,[74209],3 Gable Close Abbots Langley England WD5 0LD
THE ROYSTON JOCKEY LTD,17078057,active,ltd,,,2026-03-09,,2026-03-09,[56101],The Jockey, 31-33 Baldock Street Royston United Kingdom SG8 5BD
YVZ LONDON LTD,17078190,active,ltd,,,2026-03-09,,2026-03-09,[68100, 68209],81 Turners Hill Waltham Cross England EN8 9BD
EFP PROPERTY HOLDINGS LIMITED,17085164,active,ltd,,,2026-03-11,,2026-03-11,[68100, 68209],3 Tolmers Avenue Potters Bar United Kingdom EN6 4QE
DMFM HOLDINGS LTD,17087654,active,ltd,,,2026-03-12,,2026-03-12,[64209],C/O Sobell Rhodes Llp The Kinetic Centre Theobald Street Borehamwood United Kingdom WD6 4PJ
NARBOROUGH HOUSE PROPERTIES LTD,17089683,active,ltd,,,2026-03-13,,2026-03-13,[68209],Goodier Smith & Watts Devonshire House Borehamwood England WD6 1QQ
CHECK MY WILL LTD,17081012,active,ltd,,,2026-03-10,,2026-03-10,[96090],12 Metro Centre Dwight Road Watford England WD18 9SS
BIG AL FRESCO LIMITED,17081265,active,ltd,,,2026-03-10,,2026-03-10,[41100, 68209, 74909, 82990],Second Floor Hitchin United Kingdom SG4 9SP
GUTENBERG PRINT LTD,17083495,active,ltd,,,2026-03-10,,2026-03-10,[46180, 70229],C/O Gardian Accounting Ltd 4 Imperial Place Borehamwood United Kingdom WD6 1JN
AZZURRI CAMBRIDGE LIMITED,17083661,active,ltd,,,2026-03-10,,2026-03-10,[56102, 56103],7-8 Portmill Lane Hitchin England SG5 1DJ
ATIPICA LTD,17087817,active,ltd,,,2026-03-12,,2026-03-12,[86900],Eastbury Court Barnet England EN5 1LD
TKH ESTATES LIMITED,17079060,active,ltd,,,2026-03-09,,2026-03-09,[68100, 68209],The Chestnuts, Room 2 Brewers End Bishop's Stortford United Kingdom CM22 6QJ
SHROGG PROPERTY LIMITED,17081026,active,ltd,,,2026-03-10,,2026-03-10,[68209],39 The Hedgerows Bishop's Stortford United Kingdom CM23 5FD
MIAMI VIBE 305 LIMITED,17086314,active,ltd,,,2026-03-11,,2026-03-11,[46450],137 Watling Street Radlett England WD7 7NQ
REAL RISK SOLUTIONS LIMITED,17091062,active,ltd,,,2026-03-13,,2026-03-13,[70229],Merle Wood Letchworth Garden City England SG6 3NF
ZAPAZON PROPERTY SERVICES LIMITED,17093846,active,ltd,,,2026-03-16,,2026-03-16,[43390, 49420, 81210],85 Horizon Place Borehamwood United Kingdom WD6 5FQ
STEVE EMBLEN HOLDINGS LIMITED,17103974,active,ltd,,,2026-03-19,,2026-03-19,[64209],147a High Street Waltham Cross England EN8 7AP
LPS ELECTRICIANS LTD,17097674,active,ltd,,,2026-03-17,,2026-03-17,[43210],Wellington House London Colney United Kingdom AL2 1HA
L&A DRAINAGE LIMITED,17101225,active,ltd,,,2026-03-18,,2026-03-18,[37000, 39000],81 Turners Hill Waltham Cross United Kingdom EN8 9BD
HILL TOP CAREHOME LIMITED,17097274,active,ltd,,,2026-03-17,,2026-03-17,[87300],Regency House Barnet England EN5 4BE
GREENFLEETS HOLDINGS LIMITED,17099423,active,ltd,,,2026-03-18,,2026-03-18,[64209],Unit 7 The Forum Tring United Kingdom HP23 4JY
ATA KYRIAKOU LIMITED,17099674,active,ltd,,,2026-03-18,,2026-03-18,[68100, 68209, 68320],Unit 4, Stirling Court Yard Borehamwood England WD6 2FX
CHEQUERS APOTHECARY LIMITED,17102464,active,ltd,,,2026-03-19,,2026-03-19,[99999],2 Tower House Hoddesdon United Kingdom EN11 8UR
ULS TRADING LTD,17094601,active,ltd,,,2026-03-16,,2026-03-16,[46900],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX
G & T CONSULTANCY LTD,17097583,active,ltd,,,2026-03-17,,2026-03-17,[43999],99 Raglan Gardens Watford United Kingdom WD19 4LJ
BOZZO BITES LTD,17099359,active,ltd,,,2026-03-18,,2026-03-18,[56103],Andys Brunch Box - Madford Retail Park Ware Road Hertfordshire England SG13 7RQ
AICA HOLDINGS LIMITED,17102405,active,ltd,,,2026-03-19,,2026-03-19,[64209],C/O Ascot Drummond Devonshire House Borehamwood United Kingdom WD6 1QQ
KILLICK PROPERTIES LIMITED,17102948,active,ltd,,,2026-03-19,,2026-03-19,[68100, 68209, 68320],266-268 High Street Waltham Cross England EN8 7EA
A META LIMITED,17099972,active,ltd,,,2026-03-18,,2026-03-18,[41201],C/O Robert A Harris & Co, Business And Technology Centre Stevenage England SG1 2DX
RUSKIN ORIEL PROPERTY LIMITED,17103171,active,ltd,,,2026-03-19,,2026-03-19,[68209],Rhodes House Watford England WD18 0JB
LIAVI GROUP LTD,17094376,active,ltd,,,2026-03-16,,2026-03-16,[47750],Unit 1 Borehamwood Enterprise Centre Borehamwood England WD6 4RQ
10 DOREEN AVENUE LIMITED,17094820,active,ltd,,,2026-03-16,,2026-03-16,[98000],Lever & Co Solicitors 25b White Horse Court Bishop's Stortford United Kingdom CM23 2LD
BEST GROCERY RETAIL SWANSEA LTD,17101667,active,ltd,,,2026-03-18,,2026-03-18,[47110, 47210, 47220, 47240],Unit A Monro Industrial Estate Waltham Cross England EN8 7LX
SMILE247 LIMITED,17102514,active,ltd,,,2026-03-19,,2026-03-19,[86230],1 Lodge Close Watford England WD25 9BD
CANFIELD CARPENTRY & JOINERY LTD,17094450,active,ltd,,,2026-03-16,,2026-03-16,[16230],West Clayton Business Centre Chorleywood United Kingdom WD3 5EX
EDEN COVE LIMITED,17096012,active,ltd,,,2026-03-17,,2026-03-17,[68209],9 Foster Close Waltham Cross United Kingdom EN8 9RZ
DPB PROPERTY HOLDINGS LIMITED,17105192,active,ltd,,,2026-03-20,,2026-03-20,[68209],4 Grenville Avenue Broxbourne England EN10 7DH
JS HATCH LIMITED,17111648,active,ltd,,,2026-03-23,,2026-03-23,[68209],19 Mill Lane Hitchin United Kingdom SG5 4NU
JFK GARDENING LIMITED,17118520,active,ltd,,,2026-03-26,,2026-03-26,[81300],Pendragon House St. Albans United Kingdom AL1 1LJ
BANH MI 108 LIMITED,17118885,active,ltd,,,2026-03-26,,2026-03-26,[56102],Suite F47 Business  & Technology Centre Stevenage United Kingdom SG1 2DX
L & R MANAGEMENT SERVICES LIMITED,17085423,active,ltd,,,2026-03-11,,2026-03-11,[82110, 82302],3a Canberra House St. Albans England AL1 1LE
BY CONSTRUCTION (LONDON) TWO LIMITED,17124117,active,ltd,,,2026-03-30,,2026-03-30,[41202],Langley House Borehamwood United Kingdom WD6 4RT
THENINETEENTH LTD,17127359,active,ltd,,,2026-03-31,,2026-03-31,[43290],Rivers Lodge Harpenden United Kingdom AL5 2JD
CLARK FARMING (BERDEN) LTD,17123939,active,ltd,,,2026-03-30,,2026-03-30,[01500],Cart Lodge Harps Farm Great Hallingbury United Kingdom CM22 7TL
VSLB ASSOCIATES LIMITED,17127425,active,ltd,,,2026-03-31,,2026-03-31,[70229],2nd Floor, Unicorn House Potters Bar England EN6 1TL
ETBCLARK LTD,17117498,active,ltd,,,2026-03-26,,2026-03-26,[68100],4 Bury Villas Stortford Hertfordshire United Kingdom CM22 6PB
EVERGREEN CHILDREN'S RESIDENTIAL LIMITED,17118911,active,ltd,,,2026-03-26,,2026-03-26,[87900],Office 107, Russell Building West Common Harpenden United Kingdom AL5 2JQ
BIZEN SOLUTIONS LTD,17115654,active,ltd,,,2026-03-25,,2026-03-25,[49320],27 Maynard Road Hemel Hempstead United Kingdom HP2 4TR
CAMERON & PARTNERS LIMITED,17122124,active,ltd,,,2026-03-27,,2026-03-27,[69201],Suite 9 30 Bancroft Hitchin England SG5 1LE
SHELLEY CAPITAL NO 10 LIMITED,17126226,active,ltd,,,2026-03-30,,2026-03-30,[64999],Kenwood House Borehamwood United Kingdom WD6 1AG
BERKHAMSTED POWDER COATING LIMITED,17117536,active,ltd,,,2026-03-26,,2026-03-26,[45200],Unit 2, Site 13a Northbridge Road Berkhamsted United Kingdom HP4 1EH
13 IDEA LIMITED,17118984,active,ltd,,,2026-03-26,,2026-03-26,[93199],137 Watling Street Radlett England WD7 7NQ
