company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
BROKER FREE (UK) LIMITED,16574812,active,ltd,,,2025-07-10,,2025-07-10,[82990],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
ARKMOR CAPITAL LTD,16569231,active,ltd,,,2025-07-08,,2025-07-08,[66190, 82110],52 Grosvenor Gardens London England SW1W 0AU,arkmor.com,,Confirmed
ELIZABETH RR NO.5 LIMITED,16564502,active,ltd,,,2025-07-07,,2025-07-07,[64999],Office 405 70 St Mary Axe London United Kingdom EC3A 8BE,,,
LA1 COLLECTIVE LTD,16588728,active,ltd,,,2025-07-17,,2025-07-17,[93130],The Community Center London England E15 1JT,,,
STERLING MANAGEMENT GROUP LTD,16592309,active,ltd,,,2025-07-18,,2025-07-18,[68320],3rd Floor Suite London England W1B 3HH,,,
AUTO LAGOUN LTD,16552125,active,ltd,,,2025-07-01,,2025-07-01,[45112, 47910, 96090],Flat 15 Pickering House London England N4 1QY,,,
BOULOGNE CONSULTING LTD,16564351,active,ltd,,,2025-07-07,,2025-07-07,[74901],3rd Floor Suite London England W1B 3HH,,,
REFACTORA SOFTWARE LTD,16601616,active,ltd,,,2025-07-23,,2025-07-23,[58290, 62012, 62020],3rd Floor Suite London England W1B 3HH,,,
THE FREEDOM BRIEF LIMITED,16564780,active,ltd,,,2025-07-07,,2025-07-07,[70229],3rd Floor Suite London England W1B 3HH,,,
RALPH CAPITAL LTD,16606422,active,ltd,,,2025-07-25,,2025-07-25,[68100, 68209, 68320],Flat 1 33-34 Philbeach Gardens London England SW5 9EB,,,
PASHA ASSETS LIMITED,16567483,active,ltd,,,2025-07-08,,2025-07-08,[68209],30 Hartland Drive Edgware England HA8 8RH,,,
WOLFCLOSER LIMITED,16603646,active,ltd,,,2025-07-24,,2025-07-24,[70229],32 Kinburn Street London England SE16 6DW,,,
ESSENTIALLY MISS EDWARDS LIMITED,16586388,active,ltd,,,2025-07-16,,2025-07-16,[74909],Flat 9 Integra House London England SW17 0GQ,,,
CUTMORE GROUP LIMITED,16580490,active,ltd,,,2025-07-14,,2025-07-14,[41100, 68100, 68209, 98000],3rd Floor Suite London England W1B 3HH,,,
TIRAK RESTAURANT LIMITED,16563213,active,ltd,,,2025-07-07,,2025-07-07,[56101, 56103],179 Clapham Manor Street London England SW4 6DB,tirak.co.uk,,Confirmed
SMOOCHY LIMITED,16566651,active,ltd,,,2025-07-08,,2025-07-08,[63120],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
WISE EQUITY LTD,16552030,active,ltd,,,2025-07-01,,2025-07-01,[68209],3rd Floor Suite London England W1B 3HH,,,
HQ AUTOMOTORS LTD,16568594,active,ltd,,,2025-07-08,,2025-07-08,[45112],36 Sunning Field Road London United Kingdom NW4 4RL,,,
MEDORO ADVISORY LTD,16597319,active,ltd,,,2025-07-21,,2025-07-21,[70229],3rd Floor Suite London England W1B 3HH,,,
BULLET DIGITAL UK LTD,16583670,active,ltd,,,2025-07-15,,2025-07-15,[64999],3rd Floor Suite London England W1B 3HH,,,
SALVE FITNESS LTD,16566544,active,ltd,,,2025-07-08,,2025-07-08,[82990],107 Nimrod London United Kingdom SW16 6TH,,,
AZULA CONSULTING LTD,16586871,active,ltd,,,2025-07-16,,2025-07-16,[70229],14c Laurel Point London England E20 1JD,,,
KAY & H LTD,16579120,active,ltd,,,2025-07-14,,2025-07-14,[49410],The Basement Goodmayes House Ilford England IG3 9UF,,,
INSPO HOMES LTD,16600871,active,ltd,,,2025-07-23,,2025-07-23,[68209],Suite Ra01, 195-197 Wood Street London England E17 3NU,,,
DUO COLLECTIVE LTD,16606116,active,ltd,,,2025-07-25,,2025-07-25,[55209, 68310],71-75 Shelton Street London England WC2H 9JQ,,,
CUMMULUS ENERGY LTD,16613524,active,ltd,,,2025-07-29,,2025-07-29,[96090],Store F48 Design Centre Car Park London United Kingdom SW10 0XE,,,
