company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
RNM 61 ELECTRICAL LTD,16234231,active,ltd,,,2025-02-06,,2025-02-06,[43210],69 Wendover Road London England NW10 4RX,,,
PERSPECTIVE WINDOWS LIMITED,16234382,active,ltd,,,2025-02-06,,2025-02-06,[43390],66 Alpha Grove London United Kingdom E14 8LH,,,
ANA AMARAL AESTHETICS TRAINING LTD,16234386,active,ltd,,,2025-02-06,,2025-02-06,[85590],Suite 206, Britannia House, 11 Glenthorne Road London England W6 0LH,,,
KUNMI OKE LTD,16234383,active,ltd,,,2025-02-06,,2025-02-06,[68209],43 Kingsmead Road London United Kingdom SW2 3HY,,,
GALAXY 459 LTD,16234393,active,ltd,,,2025-02-06,,2025-02-06,[47910, 90030],71a Salusbury Road London England NW6 6NJ,,,
ZHIVAR CLINIC LTD,16234379,active,ltd,,,2025-02-06,,2025-02-06,[96020],22-25 Portman Close London England W1H 6BS,,,
ECO SHINE FACILITIES MANAGEMENT LTD,16234354,active,ltd,,,2025-02-06,,2025-02-06,[81210],45 Albemarle Street London England W1S 4JL,,,
CHEERY LTD,16234350,active,ltd,,,2025-02-06,,2025-02-06,[58290, 62012, 62090, 63120],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
CULTURE AND COMMERCE PARTNERS LIMITED,16234469,active,ltd,,,2025-02-06,,2025-02-06,[70229],Unit 7 Mulberry Place London United Kingdom SE9 6AR,candc-partners.com,,Likely
TT HEADOFFICE LIMITED,16234437,active,ltd,,,2025-02-06,,2025-02-06,[46900],20 Goodge Place London England W1T 4SH,,,
TROVE DATA LTD,16234512,active,ltd,,,2025-02-06,,2025-02-06,[58290],63 Clapton Square London United Kingdom E5 8HE,,,

1 LANE MOTORS LTD,16234511,active,ltd,,,2025-02-06,,2025-02-06,[71129],168 Tooting Bec Road London United Kingdom SW17 8BH,,,
PHELPS WASHINGTON LTD,16234485,active,ltd,,,2025-02-06,,2025-02-06,[70229],35-37 Ludgate Hill London England EC4M 7JN,,,
FANABILITY LTD,16234564,active,ltd,,,2025-02-06,,2025-02-06,[70229, 93199],1 Canada Square London United Kingdom E14 5AA,,,
COHORT ISSUER I LTD,16234632,active,ltd,,,2025-02-06,,2025-02-06,[64999],10th Floor 5 Churchill Place London United Kingdom E14 5HU,,,
KIRYILAN CATERING LIMITED,16234745,active,ltd,,,2025-02-06,,2025-02-06,[56102],39 Hendon Lane London England N3 1RY,,,
BRAMLEY SERVICES LTD,16234750,active,ltd,,,2025-02-06,,2025-02-06,[69201, 69202, 70221],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
YCC PRIME CONSULTING LTD,16234894,active,ltd,,,2025-02-06,,2025-02-06,[70229],Flat 10 Gelman House London England N16 5FF,,,
MAX ALTA CAPITAL LIMITED,16234993,active,ltd,,,2025-02-06,,2025-02-06,[70221],12 Gough Square London United Kingdom EC4A 3DW,,,
ONE SPECIES CO. LABS LTD,16234986,active,ltd,,,2025-02-06,,2025-02-06,[64209],124 City Road London United Kingdom EC1V 2NX,,,
KMC.LDN LTD,16234978,active,ltd,,,2025-02-06,,2025-02-06,[56102],103 Newington Green Road London England N1 4QY,,,
SEASERA LTD,16235052,active,ltd,,,2025-02-06,,2025-02-06,[68209],2 Kenver Avenue London England N12 0PG,,,
VASPR LTD,16235160,active,ltd,,,2025-02-06,,2025-02-06,[62012, 62020, 62090, 63110],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
LTPMB LTD,16235246,active,ltd,,,2025-02-06,,2025-02-06,[68209],56 Lingwood Road London United Kingdom E5 9BN,,,
HIGH EFFICIENCY SYSTEMS LTD,16235347,active,ltd,,,2025-02-06,,2025-02-06,[33150],2nd Floor College House Ruislip, United Kingdom HA4 7AE,,,
EQ OPERATIONS TOWCESTER LIMITED,16235355,active,ltd,,,2025-02-06,,2025-02-06,[87100, 87300, 87900],46 Curzon Street London England W1J 7UH,eqcare.org,enquiries@eqcare.org,Likely
PINNACLE ESTATES AND PROPERTIES LTD,16232302,active,ltd,,,2025-02-05,,2025-02-05,[68100, 68209],14/2e Docklands Business Centre 10 - 16 Tiller Road London England E14 8PX,,,
US AND THEM LTD,16235406,active,ltd,,,2025-02-06,,2025-02-06,[82990],139 Dunstans Road London United Kingdom SE22 0HD,,,
BETHANY CRUTCHFIELD LTD,16235566,active,ltd,,,2025-02-06,,2025-02-06,[74202],D S Burge And Co Ltd London United Kingdom SW19 4DW,bethanycrutchfield.com,,Likely
CHP SILVERSTONE LTD,16235647,active,ltd,,,2025-02-06,,2025-02-06,[82990],99 Canfield Gardens London United Kingdom NW6 3DY,,,
ESCAPE PLAN TRAVEL LTD,16235820,active,ltd,,,2025-02-06,,2025-02-06,[59112, 73120, 79110, 79120],8 Vernon House London England SW17 7FX,,,
TOP TUTORS LTD,16235826,active,ltd,,,2025-02-06,,2025-02-06,[85600],167-169 Great Portland Street London United Kingdom W1W 5PF,thetoptutors.com,,Confirmed
EZY PZY FINANCE UK LIMITED,16236010,active,ltd,,,2025-02-07,,2025-02-07,[73110],71-75 Shelton Street London United Kingdom WC2H 9JQ,ezypzyfinance.co.uk,,Confirmed
VINYL WRAP FIX LTD,16236021,active,ltd,,,2025-02-07,,2025-02-07,[74100, 82990],18 Island Road London United Kingdom SE16 2PQ,vinylwrapfix.co.uk,,Confirmed
MODEEN LTD,16236107,active,ltd,,,2025-02-07,,2025-02-07,[42120],Flat 5 Chesterford House London England SE18 4PF,,,
SNA AUDIOSERVICES LTD,16236090,active,ltd,,,2025-02-07,,2025-02-07,[86900],3rd Floor 86-90 Paul Street London United Kingdom EC2A 4NE,,,
PROPERTY LIST ESTATE AGENTS LIMITED,16236160,active,ltd,,,2025-02-07,,2025-02-07,[68209, 68320],Second Floor London United Kingdom EC3M 7AT,,,
EDUBLOOM CONSULTING LIMITED,16236220,active,ltd,,,2025-02-07,,2025-02-07,[85421, 85590, 85600],124 City Road London United Kingdom EC1V 2NX,edubloom.co.uk,info@edubloom.co.uk,Confirmed
KEMETS CREATIONS LTD,16236217,active,ltd,,,2025-02-07,,2025-02-07,[47910, 90030],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
SIAM LABELING & ADVERTISING SOLUTIONS UK LIMITED,16236267,active,ltd,,,2025-02-07,,2025-02-07,[18121, 22220, 32990, 82920],115 London Road Morden England SM4 5HP,,,
BLACK EAGLES SECURITY SOLUTIONS LIMITED,16236259,active,ltd,,,2025-02-07,,2025-02-07,[80200],342 Hoe Street London England E17 9PX,blackeaglessecuritysolutions.co.uk,blckglsscrtsltnltd@gmail.com,Confirmed
XURUPITA LTD,16236311,active,ltd,,,2025-02-07,,2025-02-07,[47910],20 Wenlock Road London England N1 7GU,,,
KINGDOM WORKS INNOVATIONS LIMITED,16236359,active,ltd,,,2025-02-07,,2025-02-07,[94910],Flat 2 Hitherwood Court London England NW9 5YW,,,
BMS CLOUD 360 LIMITED,16236373,active,ltd,,,2025-02-07,,2025-02-07,[74909],Lawford House London England N3 1QA,bmscloud360.com,,Confirmed
INNOVIZE LTD,16236426,active,ltd,,,2025-02-07,,2025-02-07,[58210, 58290, 71122, 71200],128 City Road London United Kingdom EC1V 2NX,,,
UNCLE MONETIZE LTD,16236490,active,ltd,,,2025-02-07,,2025-02-07,[70229, 93199],Flat 12, Ruscoe House London United Kingdom SE27 0ER,,,
LEASEHOLD LOOP LTD,16236465,active,ltd,,,2025-02-07,,2025-02-07,[70229],7 Boyd Way London England SE3 9SD,,,
PRIME GROOM LTD,16236582,active,ltd,,,2025-02-07,,2025-02-07,[47910],49 Mornington Road London England E11 3BE,primegroom.co.uk,contact@primegroom.uk,Confirmed
EXTRACT AND GLOW LTD,16236567,active,ltd,,,2025-02-07,,2025-02-07,[96090],Flat 9, Kestrel House London England EC1V 8EN,extractandglow.com,,Likely
DKR MUSIC LTD,16236746,active,ltd,,,2025-02-07,,2025-02-07,[82302, 90020],Flat 9 Wardour House 112-114 Wardour Street London England W1F 0TS,,,
DEYLAS EVENTS LTD,16236771,active,ltd,,,2025-02-07,,2025-02-07,[82301],Flat 82, Coppermill Heights London United Kingdom N17 9FH,deylasevents.com,,Likely
DD LAW LTD,16236784,active,ltd,,,2025-02-07,,2025-02-07,[69102],128 City Road London United Kingdom EC1V 2NX,,,
KAIROS STUDIO LTD,16236762,active,ltd,,,2025-02-07,,2025-02-07,[62020, 71122],167-169 Great Portland Street London England W1W 5PF,,,
RAROMOTIVE LIMITED,16236800,active,ltd,,,2025-02-07,,2025-02-07,[45111, 45112, 77110],277-279 Chiswick High Road London England W4 4PU,raromotive.com,,Confirmed
WIDGETWORLD LTD,16236807,active,ltd,,,2025-02-07,,2025-02-07,[47650],3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE,,,
PRIME VISION HOMES & INVESTMENTS LIMITED,16234065,active,ltd,,,2025-02-06,,2025-02-06,[68100, 68320],Ztk Tax Advisory Suite 1 Ideas House London United Kingdom E18 1BY,,,
WRITEXZ LTD,16234056,active,ltd,,,2025-02-06,,2025-02-06,[70229],47 Ellora Road London England SW16 6JG,writexz.co.uk,info@writexz.co.uk,Confirmed
SMART RIDE LTD,16234059,active,ltd,,,2025-02-06,,2025-02-06,[49320, 49390],Flat 2 1 Satchwell Road London England E2 6FN,,,
PLANET FRIENDLY THINGS LTD,16234057,active,ltd,,,2025-02-06,,2025-02-06,[47910],86-90 Paul Street London England EC2A 4NE,,,
S’ELEGANCE LTD,16234268,active,ltd,,,2025-02-06,,2025-02-06,[96020],39bentinck House White City Estate London United Kingdom W12 7AR,,,
GLAMSOX LTD,16234289,active,ltd,,,2025-02-06,,2025-02-06,[47990],16 Lancaster Gardens London England SW19 5DG,glamsox.co.uk,,Likely
