GULF NASEEM & FALCON LUXURY TRANSPORTATION LTD,16522968,active,ltd,,,2025-06-17,,2025-06-17,[49320, 79120],102 Mile End Road London England E1 4UN,https://gulfnaseem.com,,Confirmed
ON-DRESSED LONDON LTD,16530163,active,ltd,,,2025-06-19,,2025-06-19,[32990, 47710, 47910, 90030],Buckingham Court, Unit 42 London United Kingdom SW1E 6PE,,,
WAGGERO INTERNATIONAL LTD,16526808,active,ltd,,,2025-06-18,,2025-06-18,[58290, 62012, 63120],20-22 Wenlock Road London United Kingdom N1 7GU,,,
LDV SEISMIC LIMITED,16523501,active,ltd,,,2025-06-17,,2025-06-17,[74909],86 Mexfield Road London England SW15 2RQ,,,
SYSTECH INVESTMENTS LIMITED,16508900,active,ltd,,,2025-06-10,,2025-06-10,[64209],Systech House London United Kingdom SW19 5BA,,,
TRUST FUND LTD,16493484,active,ltd,,,2025-06-03,,2025-06-03,[58142, 62090],167-169 Great Portland Street London England W1W 5PF,,,
THE TRAVEL AGENT LTD,16509167,active,ltd,,,2025-06-10,,2025-06-10,[79110],Kemp House London England EC1V 2NX,,,
COREPATH LTD,16548579,active,ltd,,,2025-06-29,,2025-06-29,[49410],71-75 Shelton Street London England WC2H 9JQ,,,
H.A DIGITAL GROUP LTD,16547690,active,ltd,,,2025-06-27,,2025-06-27,[70229],Flat 17 Bentinck House London England W12 7AR,,,
HEN KINZ LTD,16546395,active,ltd,,,2025-06-27,,2025-06-27,[56103],124 London Road St. Albans England AL1 1PQ,,,
MAITLY LTD,16507782,active,ltd,,,2025-06-10,,2025-06-10,[62090],Office One, 1 London England EC1R 5HL,,,
BOKITTA UK LTD,16548125,active,ltd,,,2025-06-28,,2025-06-28,[47710],20 Frinton Road London England E6 3HA,,,
MYEAZIPAY TECHNOLOGY SERVICES LTD,16545325,active,ltd,,,2025-06-26,,2025-06-26,[62012, 69202],98 Coldharbour Lane London England SE5 9PU,,,
DEFINED VISUALS LTD,16541949,active,ltd,,,2025-06-25,,2025-06-25,[59112, 74202],Suite Ra01 195-197 Wood Street London England E17 3NU,,,
GROW THE LOOK GARDENS LTD,16501212,active,ltd,,,2025-06-06,,2025-06-06,[81300],Office 13020 182-184 High Street North London United Kingdom E6 2JA,,,
CHATSCRIBE LTD,16514682,active,ltd,,,2025-06-12,,2025-06-12,[74300],124 City Road London England EC1V 2NX,,,
NULIFE CARE LTD,16511208,active,ltd,,,2025-06-11,,2025-06-11,[47730],167-169 Great Portland Street Great Portland Street London England W1W 5PF,,,
MSALI LTD,16516747,active,ltd,,,2025-06-13,,2025-06-13,[41202, 43330, 43341, 43999],5 Wellesley Court London England W9 1RG,,,
BUSARK LIMITED,16536636,active,ltd,,,2025-06-23,,2025-06-23,[62012, 63120, 63990, 73110],Busark 124 London United Kingdom EC1V 2NX,,,
KILLA CAPITAL LTD,16544669,active,ltd,,,2025-06-26,,2025-06-26,[62090, 73110, 85590],85 Great Portland Street London England W1W 7LT,,,
CUBE ENTERTAINMENT LTD,16523789,active,ltd,,,2025-06-17,,2025-06-17,[56101],177 Rushey Green London England SE6 4BD,,,
NUVORO CONSULTANCY LIMITED,16527750,active,ltd,,,2025-06-18,,2025-06-18,[70229],3rd Floor 45 Albemarle Street London England W1S 4JL,,,
DORELD'SHOP LTD,16511503,active,ltd,,,2025-06-11,,2025-06-11,[47640, 47710, 47750, 47770],49 Featherstone Street London England EC1Y 8SY,,,
DHXA1 LTD,16542756,active,ltd,,,2025-06-26,,2025-06-26,[85510],49-65 Southampton Way London United Kingdom SE5 7SW,,,
MAZRREKU RENDERING LTD,16532325,active,ltd,,,2025-06-20,,2025-06-20,[43310],48 Livingstone Road London England E17 9AX,https://mazrrekurendering.co.uk/,,Confirmed
RHU MEDICAL LTD,16511522,active,ltd,,,2025-06-11,,2025-06-11,[46180, 46460, 70229, 82990],128 City Road London United Kingdom EC1V 2NX,,,
BB8 PROPERTY LTD,16544369,active,ltd,,,2025-06-26,,2025-06-26,[68209],C/O Getground London England W6 0NB,,,
CLEAR INSIGHT ANALYTICS LTD,16548060,active,ltd,,,2025-06-28,,2025-06-28,[62012],14/2e Docklands Business Centre 10-16 Tiller Road London England E14 8PX,,,
MIC KJ LTD,16501207,active,ltd,,,2025-06-06,,2025-06-06,[82990],217 Boardwalk Place London England E14 5SQ,,,
FILE MY LTD,16492020,active,ltd,,,2025-06-03,,2025-06-03,[62012],167-169 Great Portland Street London England W1W 5PF,,,
MAPLE PROP LIMITED,16549283,active,ltd,,,2025-06-30,,2025-06-30,[68100],21 Laburnum Lodge London United Kingdom N3 1SQ,,,
P4 PROPERTY MANAGEMENT LTD,16515674,active,ltd,,,2025-06-13,,2025-06-13,[68209],Office 7361qv 182-184 High Street North East Ham England E6 2JA,,,
OLLI INTERNATIONAL LIMITED,16539304,active,ltd,,,2025-06-24,,2025-06-24,[78300],124 City Road London EC1V 2NX,,,
SOLDIO ESTATES (UK) LTD,16531764,active,ltd,,,2025-06-20,,2025-06-20,[68209],Speen House London United Kingdom W1U 6AJ,,,
IMMORTALLION LTD,16539550,active,ltd,,,2025-06-24,,2025-06-24,[68100],Flat 608 Pavilion Apartments 34 St. Johns Wood Road London England NW8 7HF,,,
FIDANTIC LTD,16535369,active,ltd,,,2025-06-23,,2025-06-23,[62012],167-169 Great Portland Street London England W1W 5PF,https://www.fidantic.com/,,Confirmed
E&HTAXIOPERATIONS LTD,16535246,active,ltd,,,2025-06-23,,2025-06-23,[49320],14 2/B 10-16 Tiller Road London England E14 8PX,,,
TAPTAP  MOBILES & VAPES LTD,16494936,active,ltd,,,2025-06-04,,2025-06-04,[46520, 47421],26 Rushey Mead London England SE4 1JJ,,,
MEDIQSOL TECHNOLOGIES PVT LTD,16503685,active,ltd,,,2025-06-09,,2025-06-09,[32500, 72190, 86101, 86230],Office Gold, Building 7, Floor 5, 566 Chiswick High Road London United Kingdom W4 5YG,,,
BARD MIDCO 2 LIMITED,16530803,active,ltd,,,2025-06-20,,2025-06-20,[64209],C/O Csc Cls (Uk) Limited 5 Churchill Place London United Kingdom E14 5HU,,,
UNSHAPEN LTD,16548831,active,ltd,,,2025-06-29,,2025-06-29,[62012],124 City Road, London City Road London England EC1V 2NX,,,
BEARDS AND SHEARS LTD,16540201,active,ltd,,,2025-06-25,,2025-06-25,[96020],60 Borough High Street London England SE1 1XF,,,
NOMOSFIT UK HOLDCO LIMITED,16536079,active,ltd,,,2025-06-23,,2025-06-23,[74990],Red Lion Buildings, 3rd Floor, London England EC1A 9BU,,,
BNF IBERIA LIMITED,16497493,active,ltd,,,2025-06-05,,2025-06-05,[68100],25 Hanover Square London England W1S 1JF,,,
THE NATIONAL LONG COVID CLINIC LTD,16497832,active,ltd,,,2025-06-05,,2025-06-05,[86900],Office 206, 60 Tottenham Court Road London England W1T 2EW,,,
YEROHEEN PRODUCTION LTD,16493563,active,ltd,,,2025-06-03,,2025-06-03,[43290, 59112, 71129],5 Brayford Square London England E1 0SG,https://yeroheen.com/,,Confirmed
ROSSALL CRESCENT LTD,16535584,active,ltd,,,2025-06-23,,2025-06-23,[68100],39 Highcroft Gardens London England NW11 0LY,,,
SECURESCAPE TECHNOLOGIES LTD,16488259,active,ltd,,,2025-06-02,,2025-06-02,[96090],167-169 Great Portland Street London England W1W 5PF,,,
TRIPLESCOOP BRANDS LIMITED,16506932,active,ltd,,,2025-06-10,,2025-06-10,[74909],11 Ellison Road London England SW13 0AD,https://www.triplescoopbrands.com/,,Confirmed
CREST STAR LIMITED,16549315,active,ltd,,,2025-06-30,,2025-06-30,[96090],Flat 44c Park West London England W2 2QX,,,
ALFEEL PROPERTY LTD,16551505,active,ltd,,,2025-06-30,,2025-06-30,[68100, 68209, 68320],20 Beaufort Drive London United Kingdom NW11 6BU,,,
CYBERTEL UK LTD,16519410,active,ltd,,,2025-06-16,,2025-06-16,[61100, 61200],6th Floor 37 Lombard Street City Of London England EC3V 9BQ,https://cybertel.uk/,,Confirmed
VALE HARDWARE LIMITED,16500080,active,ltd,,,2025-06-05,,2025-06-05,[47520],8 Clifton Road London England W9 1SS,,,
NOTIXY LIMITED,16520485,active,ltd,,,2025-06-16,,2025-06-16,[70229],25 Cabot Square London United Kingdom E14 4QZ,,,
MVI BUILD LTD,16509039,active,ltd,,,2025-06-10,,2025-06-10,[41201, 41202],Flat 18 Verdana Court London England E17 6GH,,,
EIIDO LTD,16536332,active,ltd,,,2025-06-23,,2025-06-23,[47910],24-26 Arcadia Avenue, Fin009/Govonly London England N3 2JU,,,
MEKORI LTD,16513110,active,ltd,,,2025-06-12,,2025-06-12,[59200, 73110, 85590, 90030],167-169 Great Portland Street London England W1W 5PF,,,
GO UNBOUNDED LTD,16542452,active,ltd,,,2025-06-25,,2025-06-25,[61200],Ra01 Suite 195 Wood Street London England E17 3NU,https://www.go-unbounded.co.uk/,,Confirmed
TONY 21 LTD,16536408,active,ltd,,,2025-06-23,,2025-06-23,[81300],8 Queens Gate Gardens London England SW15 6JN,,,
FREE REIN MUSIC LTD,16513639,active,ltd,,,2025-06-12,,2025-06-12,[90030],1 Edward Milner Terrace London England SE19 1UW,https://www.freereinmusic.com/,,Confirmed
STARLIGHT LDN LTD,16534183,active,ltd,,,2025-06-23,,2025-06-23,[56103, 56210],34 Plashet Grove London England E6 1AE,https://starlightldnltd.co.uk/,,Confirmed
TRAININGBYXO LTD,16521572,active,ltd,,,2025-06-16,,2025-06-16,[96020],56 Leman Street London England E1 8EU,,,
MEDIAUDIT LTD,16523769,active,ltd,,,2025-06-17,,2025-06-17,[70229],Office 7 35-37 Ludgate Hill London EC4M 7JN,,,
